,0,1,2,source
87,i slapped the mosquito,and missed,what made me do that,img2poems
88,reading haiku,i am unhappy,longing for the nameless,img2poems
89,a frog floating,in the drugstore jar,summer rain on grey pavements,img2poems
90,on the porch,in my shorts,auto lights in the rain,img2poems
91,another year,has past-the world,is no different,img2poems
92,the first thing i looked for,in my old garden was,the cherry tree,img2poems
93,my old desk,the first thing i looked for,in my house,img2poems
94,my early journal,the first thing i found,in my old desk,img2poems
95,my mother's ghost,the first thing i found,in the living room,img2poems
96,i quit shaving,but the eyes that glanced at me,remained in the mirror,img2poems
97,the madman,emerges from the movies,the street at lunchtime,img2poems
98,cities of boys,are in their graves,and in this town,img2poems
99,lying on my side,in the void,the breath in my nose,img2poems
100,on the fifteenth floor,the dog chews a bone,screech of taxicabs,img2poems
101,a hardon in new york,a boy,in san fransisco,img2poems
102,the moon over the roof,worms in the garden,i rent this house,img2poems
103,rough stone smooth stone - both,born from the same mountain - but,one has suffered much,img2poems
104,ere swallows dare come,march's ranging breezes stir,dancing daffodils,img2poems
105,bus in motion-and,the passengers suddenly,sing oh canada,img2poems
106,hey indian boy why did you slice off your braids,do you grieve their loss,have you thought twice about your braids,img2poems
107,are you warrior-pretend,are you horseback-never,was your drum-less drum-less life disguised by your braids,img2poems
108,did you cut your hair after your sister's funeral,was it self-flagellation,did you chastise your braids,img2poems
109,hey indian boy why did you slice off your braids,was it a violent act,did you despise your braids,img2poems
110,and salma's mother takes me behind the house,and there behind the trees she shows me salma's grave,and there on the grave is my jacket,img2poems
111,i would buy it beg it steal it,pay in coins of dripping blood,for this one transcendent good,img2poems
112,i sit taller,daring to stare back into slate blue eyes,that see only color and shapes,img2poems
113,angrily i shout at the anger that is all around,bred in anger,kicking and screaming to hell we seem bound,img2poems
114,my soul lashes out at all the meanness,bred in soullessness,few care who they hurt reason for sadness,img2poems
115,the victums they collect are all painted with giggs,they have tears on their cheeks,they have red and yellow feet that makes my heart stop it's beat,img2poems
116,to say dive deep,into the square event,hunter green and moss,img2poems
117,next i expect to hear,the queen is dead,the king's been checked,img2poems
118,in their green and yellow dress,home they came in white body bags,in heavy coffins with name tags,img2poems
119,but many resented the pogrom,people watched in horror,the roundup they cried silently behind their curtains,img2poems
120,siempre escapas de mis manos,cuales peces huyen de la red,que ya no goza de mis besos cotidianos,img2poems
121,si te doy miel  me das hiel,si te soy fiel me eres infiel,caro es el amor pago tributos y arancel,img2poems
122,www,edwinyanes,com,img2poems
123,three voices [together,the proud and careless notes live on,but bless our hands that ebb away,img2poems
124,come my love my lover my friend,our happiness is our perpetual end,the infinite our delight,img2poems
125,the people braced for the answer nothing the atheist said after a pause,he was ecstatic,the people were more than a little disheartened,img2poems
126,what are we going to do,the people asked starting to riot,they started to push and shove,img2poems
127,she's gathered up all the time in the world,-nothing else-and waits for scanty trophies,complete in herself as a heron,img2poems
128,what could it be using for ink i wondered,and opened my window to yell,what are you using for ink,img2poems
129,es lindo recordarte hoy,y saber que te di mi todo,para hacerte feliz,img2poems
130,as his one eye sees nothing not,even the oddly stained floor,i wonder if he thinks,img2poems
131,and couldn't move,otherwise,through the void,img2poems
132,a single vessel waited shadowy,all night she ploughed her solitary way,beneath the stars and through a tranquil sea,img2poems
133,exile is a twofold problem,no one eludes it and,mourned land disappears,img2poems
134,we need the assassins,to exonerate what we do,to make it seem less awful,img2poems
135,hasan ibn al-sabah lives,in our churches on sunday,in mosques and synagogues,img2poems
136,we can't describe his face,because we wear it while,we hunt the foreign devils,img2poems
137,hermano viento,ve y dile a mi amor,lo que por ella siento,img2poems
138,hermano viento,de mi amor necesito abrigo,la amo y no miento,img2poems
139,hermano viento,es grande mi tristeza,mi complacencia y mi avivamiento,img2poems
140,hermano viento,o un fuerte abrazo,de este pecho que es su aposento,img2poems
141,await await for scanderbeg,returning as a hued dove,to liberate our motherland,img2poems
142,cortina rota,leones bailando mambo,bacinica,img2poems
143,madera seca verde follaje,machado profundo manchado,franquistas,img2poems
144,era casada,monte la potra nacarada,a pelo,img2poems
145,nazis,las casas mueren luchando,matar universo,img2poems
146,atisba teclorca teclado,torcido misterio,muslos blancos,img2poems
147,radiant highways whose vistas gleam,leading me on under crimson leaves,to the opaline gates of the castles of dream,img2poems
148,lazy saturday mornings with nothing to do,breakfast in pajamas,classic cartoons play on the tube,img2poems
149,freshly baked bread wafts in the air,eggs and bacon as well,all enjoy it best ever they all declare,img2poems
150,nice fresh fruit ripe and sweet,so many to choose,nature's goodness their nectar a treat,img2poems
151,jelly beans marshmallows and lots of sweets,chocolate covered as well,so many good things so many tasty treats,img2poems
152,kids eating cotton candy with balloons tied to strings,red blue white yellow and green,released all at once a spectacle in the sky it brings,img2poems
153,dolphins swimming and jumping in the sea,from the park they can be seen,look at them jump children claim with such glee,img2poems
154,kids swimming and jumping in the park pool,playing marco polo,everyone has so much fun everyone keeps cool,img2poems
155,all are sharing lots of giving going around,no tempers or angry shouts,laughter fills the air tis the only sound,img2poems
156,amusement parks rides are plenty,no lines there are,happy people they are everyone so friendly,img2poems
157,sleeping children on their daddies' shoulders,too much fun they have had,some safely asleep tucked away in their baby strollers,img2poems
158,for me you don't have any space,remembering your innocent kisses,i want one kiss on my wrinkled face,img2poems
159,underneath surface,blood drenched redeemably gold-sparkle,dusted,img2poems
160,i come home,after a hard day's work,and my house opens its doors to me,img2poems
161,the stove makes me a cup of tea,while the answering machine,tells me all about its day,img2poems
162,my windows close their eyes,the cd player begins a serenade,and my curtains invite me to dance,img2poems
163,for everything to last long it has to be well maintained,this indicates that if everything becomes damaged or broken down it ought to be corrected as quickly as possible,in shorts repair and maintenance of items makes them last longer and also serve the owners better,img2poems
164,the climb so high you lose all hope,hands burn clutching the faiths rope,you ask your soul is this my doom,img2poems
165,come you preservers,angels of the year,and you,img2poems
166,someone is trying to make music somewhere,with a pair of wooden spoons on an oil drum,with cello boom box harmonica voice,img2poems
167,we encounter each other in words words,spiny or smooth whispered or declaimed,words to consider reconsider,img2poems
168,we cross dirt roads and highways that mark,the will of some one and then others who said,i need to see what's on the other side,img2poems
169,i know there's something better down the road,we need to find a place where we are safe,we walk into that which we cannot yet see,img2poems
170,praise song for struggle praise song for the day,praise song for every hand-lettered sign,the figuring-it-out at kitchen tables,img2poems
171,love beyond marital filial national,love that casts a widening pool of light,love with no need to pre-empt grievance,img2poems
172,i know not where,i know not when,but i have decided to live life till then,img2poems
173,i lost my mother more than two decades ago,today on her birthday i spontaneously composed this poem,it's not just for my parents its for all those who love someone dearly,img2poems
174,a broken leaf can linger in a limbo,if these non-livings can change the mighty morsels,then why don't we,img2poems
175,hope is the life we breathe tomorrow,and the paths we tread every year,hope is the inflation of our ballooned hearts,img2poems
176,it's lunch time on a busy work day,and i'm at the happy burger shack,waiting to place my order to go,img2poems
177,comes a black man scarecrow thin,his jeans slung lowdown and dirty,an acre of underwear in evidence,img2poems
178,thug,he flops down in the first shade available,and sets his lunch sack on the curbside,img2poems
179,espiritu santo,then smiles and wishes me blessings,as i drive away with my order,img2poems
180,why,why,why must i ask why,img2poems
181,they back away from the bear,the bear stirs and shakes off the dream,but the dream won't shake,img2poems
182,as i lie in my bed,the flute-notes push against my ears and lips,and i go to sleep dreaming,img2poems
183,chairs are really parallel bars,for gymnastics leading to stars,galaxies at the dreamy carpet's edge,img2poems
184,i am all metaphor and simile,swimming in transitivity,in my pluperfectness,img2poems
185,i was aware my room was lived-in,my cigarette wasting in an arc of ash i rescued,my opened book advanced a page or two,img2poems
186,yet he seems to be saying,how free i am,mocking my ways as sham,img2poems
187,i prepare for gritty,crisp and gushious,bursts of pear,img2poems
188,don't feel sorry for me,i am a competent,satisfied human being,img2poems
189,and thus did i save the earth,though i wish at least those aliens,had left me some presents for my trouble,img2poems
190,means a little bit more,and what happened then,well,img2poems
191,the silver-blue moonlight makes the geraniums purple,and the roof glitters,like ice,img2poems
192,the silver-blue moonlight makes the geraniums purple,and the roof shines,like ice,img2poems
193,oh well let's go on eating the grains of eternity,what do we care about improvements in travel,angels sometimes cross the river on old turtles,img2poems
194,shall we worry about who gets left behind,that one bird flying through the clouds is enough,your sweet face at the door of the house is enough,img2poems
195,the two farm horses stubbornly pull the wagon,the mad crows carry away the tablecloth,most of the time we live through the night,img2poems
196,let's not drive the wild angels from our door,maybe the mad fields of grain will move,maybe the troubled rocks will learn to walk,img2poems
197,it's all right if we're troubled by the night,it's all right if we can't recall our own name,it's all right if this rough music keeps on playing,img2poems
198,i've given up worrying about men living alone,i do worry about the couple who live next door,some words heard through the screen door are enough,img2poems
199,i begin to undertake punishment and years of sorrow,if tomorrow isn't enough to borrow any troubles,a character of it's own would be worthed to be worth,img2poems
200,omg,like a bulb start burning on the ground of the sleeping cold night looking to see the reason of its immediate distressed,there i go and saw a little one from the corner of my eye changing its color becoming fire on sight,img2poems
201,oh how can i not move even my spine dug on comfortable piece calling out my name with unacquainted yell,here i come here i come the respond of my soul,like a prodigal father rushing towards his prodigal son,img2poems
202,under the wind's muzzle,and the chant of mermaids,i become one with the eroded sand,img2poems
203,your words shatter realities,your existence illuminates life,your meaning deepens the soul,img2poems
204,what portion in the world can the artist have,who has awakened from the common dream,but dissipation and despair,img2poems
205,so we lock and learn of human migrations of america before columbus and of siberian petroglyphs,we ponder the musings of percy walker and the art of john boatwright,we tune in to listen to strains from mozart and beethoven and we audit short courses about the italian renaissance and southern reconstruction,img2poems
206,how robotic i have become,guided by the devils instinct,i am not me,img2poems
207,if good heath wishes yet inspire us,hopefully your computer will,soon overcome its latest virus,img2poems
208,round snow flakes,others large small or angled,together they make a snowman,img2poems
209,the sucking waves retard and tighter clinch,the weeds about him but the land-winds blow,and in the sky there blooms the sun of may,img2poems
210,i consult to the doctor,but still,no cure,img2poems
211,there is no sin but sloth,burn,to a wick and keep moving,img2poems
212,turn your back to fear,her beauty dissolved,to a whisper,img2poems
213,music ignites my soul with fire,when i'm in sorrow and in pain,it makes me fall in love again,img2poems
214,music is my life after all these years,through ups and downs,somehow i manage to survive in life,img2poems
215,though life is a rough road,music makes me dance and sing aloud,through hardships in life,img2poems
216,show me purity,i bow to clarity,but what is clear,img2poems
217,keep going for we know not others with better honesty,living with cogitate morality you are content and at ease,you aspire for tranquil world hoping this chaos to cease,img2poems
218,doing your devoted prophetic work to the good of humanity,your propitious thoughts will frame the system with prosperity,i hence wish this may your good tribes ever increase,img2poems
219,in that place called tomorrow,even their distant seeds that dare,shall whisper those names in fear,img2poems
220,in that place call tomorrow,families shall gather together again,to eat breakfast and/or dinner,img2poems
221,philip said if so i will good tribute pay,the bard compared me to a summer's day,told me work on lovely spenser's art,img2poems
222,one day i will,create a master piece,to the liking of one and all,img2poems
223,now is here,nothing there,before is gone it wasn't there,img2poems
224,there is no such thing as luck only inspiration,there is no such thing as success only will power,remember these lines and you'll build a nation,img2poems
225,there is no such thing as happiness only realization,very few might believe what you say but say you must,there is no such thing as luck only inspiration,img2poems
226,people may doubt people may question but you must mention,there is no such thing as fate only good performance and bad performance,remember these lines and you'll build a nation,img2poems
227,there is nothing that god cannot do,he is in everyone's heart and in each person's aspiration,there is no such thing as luck only inspiration,img2poems
228,there is no prayer that god hasn't fulfilled,so shed your doubts fears and inhibition,remember these lines and you'll build a nation,img2poems
229,for all its charms the island is uninhabited,and the faint footprints scattered on its beaches,turn without exception to the sea,img2poems
230,on deck gladly corrupted sailors swig arak,and drunk as baboons on durians their minds,swim off to the roaring forties,img2poems
231,at a,m,the two middleaged men sleeping together holding hands,img2poems
232,they fall,flutter,fall,img2poems
233,so honest saint jerry,corrected the holy bible,and said the dog came back too,img2poems
234,and brings my memory to your heart,when someday that rare blossom,you find,img2poems
235,i sit in the garden,on a small marble bench,beneath the sun,img2poems
236,the water glows and makes music,as it falls down the stream,of little waterfalls,img2poems
237,i follow the stream,into a land of beauty,and wonder,img2poems
238,i walk around to see wild flowers,patches of four leaf clovers,and small rainbows,img2poems
239,up and up the flames crawled high,up into the clear green sky,thus toppled the tower with a glorious cry,img2poems
240,handshakes unravel chains,jingling child-widower tears as,unsolved bodies lay buried,img2poems
241,and a captain announces safe passage,mark,twain,img2poems
242,at least in that context,be the pure and fair,to prove,img2poems
243,he'll not beg,he'll just walk,he won't even talk,img2poems
244,and friends in high places,have no use whatsoever,when they are not your friends,img2poems
245,i know a thing that's most uncommon,i know a reasonable woman,handsome and witty yet a friend,img2poems
246,for this home to grow old as i do,without fear of future,or penitence for past,img2poems
247,you ask yourself,is this some kind of esp,a trick from above,img2poems
248,the past,the present,and the future,img2poems
249,the path of the just is like the sun,that fades into the sun set,at the end of the day,img2poems
250,some things we may never understand,so for now let's not laugh,at the joke of that teen sitting not too far,img2poems
251,i always said one day they would use the law of averages to turn us into slaves,and as per usual it's not an easy thing to follow his argument protracted as it is from a slab of research as thick as any thesis,but i kind of listen like i believe him as foolish as it sounds,img2poems
252,no one is perfect she knows,why she did so,who know,img2poems
253,she was his paradise,now lost,he now bewildering to hide,img2poems
254,he was a refugee,wanted a refuge,he knew she would refuse,img2poems
255,what he could do,she had eyes anyone could drown in,he was homo too,img2poems
256,it was not her fault,both knows,ignorance might be the way,img2poems
257,oh take me death,indulge desir'd repose,and draw thy silent curtain round my woes,img2poems
258,many eyes cried,but hearts missed him none,alas the conqueror of the world was forever alone,img2poems
259,and then solidify,bring down all ever after the stars and make a necklace for my mother,repeat the same mistake each time,img2poems
260,shut her lips nbsp my forgetfulness,with your memory words,then shut me,img2poems
261,nbsp,heard her beforedrowning you,in her tousled nbsp hair,img2poems
262,dusted feet and flake embers,as windblown the water oak,next to the winged spindle tree,img2poems
263,today thee is melancholy standing on a pulpit,staring at the back of thou arts bride,eluding away with the wind,img2poems
264,both of us paper tigers,among the horses,the quadriga shifting shades,img2poems
265,some day your life is ending up in thirty-gallon bags,on the street and the rest of it will be shipped,in boxes to people who think it's overdue,img2poems
266,think of stone faces of stoics laughing in museums,hold that thought when they pull the plug,and you flatline to your debriefing,img2poems
267,i figure for sixty bags and thirty boxes,and hanging around just long enough,to make sure nobody's jumping up and down,img2poems
268,you won't be looking for me when you come back,shared blood having always made us invisible to each other,so when i hear you laugh that will suffice to make us free,img2poems
269,winning can never get you to anything you will just be nobody you'll never be able to continue your future with just winning because winning isn't everything you can't just win countless times,if you lose it's just a part of your life it normal losing is something that makes your temper out of control like: mad sad and even stress,but we all have to remember that it's just a game it's not a game between being alive or dead so don't worry you have a future for you to move on and never let winning in your way,img2poems
270,let me play the strains,of those cadenced memories,and lost orchestrated dreams,img2poems
271,strains that ebb and flow,from my blue rustic aged,viola of loneliness,img2poems
272,the pleasing smile on an angel's lips,such a captivating sight,made for an eternal gift to my eyes,img2poems
273,on the threshold the pain stumbles over despair,and in the bedroom guarding memories curled tightly,a ginger cat gloomily meows,img2poems
274,get on your bark sail to the distant pole,in walls of ice - and bit by bit forget,how they loved there perished fought gained goal,img2poems
275,you are a mute witness,to this volley of bloodshed,know not how long,img2poems
276,she speaks of willows grown aslant a brook,that drape the early tanagers,and house the thrush,img2poems
277,nbsp,now the shadow trees are falling autumn,a wanderlust of corals fill up with rocks,img2poems
278,my perplexity to know,how much away,from,img2poems
279,finding a clear and present purpose,it's the hardest part to escape from the lucid dream,this fake reality that we call life without purpose,img2poems
280,a caring heart,a smile a wave a wink,a moment that makes you stop and think,img2poems
281,you're not alone even though it seems no one cares,lonely and surrounded by blank looks and empty stares,but there is someone out there someone who deeply cares,img2poems
282,like searching for a diamond evasive it seems,impossible to find even in your wildest dreams,but find it you will ending your heart's longing pleas,img2poems
283,as you search for the diamond through endless grains of sands,a battered heart on swollen knees and bruised hands,you'll find the one that one buried in the deepest of sands,img2poems
284,the search may be painful tedious and dark,trouble maybe all that you find from the moment you start,but you will find that diamond and it will be dear to your heart,img2poems
285,a caring heart,a smile a wave a wink,that moment will come and your hearts will sync,img2poems
286,when i shall have given you the last one,you will have the whole of me,but i shall be dead,img2poems
287,never together never apart stands a love awaiting a heart,a heart apart from a love a far together hearts loves always apart,love apart from a heart stands a heart a waiting,img2poems
288,fluently speaks english loves cricket,shoulders are shaken by expression,she cries alone laughs with everyone,img2poems
289,writes poems sings song loves football,he walks on the high-street and observes people,he laughs alone listens to everyone,img2poems
290,three a,m,insomnia stricken,img2poems
291,would do anything to get some sleep,a little blonde living in california,catches my eye on the computer screen,img2poems
292,i got a space pack on in space,it's my only place,don't call me unless you are going fishing on mars,img2poems
293,henceforth,great is the nature perfection the habit,humility the path and zenith the ambit,img2poems
294,i hate to see her cry i'd wipe the tears from hers eyes,and do anything for her smile to come to,it makes me sad to see the girl with a million amp one laughs down in a hole amp blue,img2poems
295,bizarre mania you're a bee in one's bonnet a quit thing,it might just last until spring,for this genre let no one know i was only engaged in friendly intercourse,img2poems
296,i'm so very sorry,lover's i hope we can be,is there a way,img2poems
297,in my heart in my head there is a place for you,and all the things i said i spoke the truth,i'll remember you,img2poems
298,because doll you did something to me,you gave me eyes amp now i can see,everything,img2poems
299,years have passed and i stand where we once laid,an as i look around everything's the same,except one thing,img2poems
300,so i sit down on the ground lay back and rest my eyes,and as i drift into slumber our past comes alive,under the same starry sky,img2poems
301,beloved beloved,just as ordinary  just as dull,just as written,img2poems
302,let molon and none else that ordeal brave,while we make ease our study and secure,some witch to charm all evil from our door,img2poems
303,beside whose cornstacks may i oft again,plant my broad fan: while she stands by and smiles,poppies and cornsheaves on each laden arm,img2poems
304,the first time,i dreamed the major thirteen,i was just over sixty,img2poems
305,not thick brown rice and rice pilaw,or mushrooms creamed on toast,turnips mashed and parsnips hashed,img2poems
306,health-food folks around the world,are thinned by anxious zeal,they look for help in seafood kelp,img2poems
307,the world won't last,what are you,what am i,img2poems
308,search it out and refresh thee,he will make thee wise and thou wilt find freedom,for thou art a captive and the world is a prison,img2poems
309,into beautiful madness like a bridge between,all things near and far her heart a collectible,a piece of vintage art,img2poems
310,planted treasure for love and tears,angel's seven years memory,author's note: a poem for a treasured not a trashed memory for my ex girlfriend whom i spent my life with for seven years,img2poems
311,we the great gazebo built,they convicted us of guilt,bid me strike a match and blow,img2poems
312,i use my soul,as a paper weight,to hold the mountains in place,img2poems
313,we knew,we would not know them much,or more to know them much no more,img2poems
314,pray i will and sing i must,and yet i weep  oedipus' child,descends into the loveless dust,img2poems
315,you are waiting like the bride on the abandoned bed,dreaming of him with open arms as he brings a sack full of dreams,extending your hands with softness as in the beloved hair,img2poems
316,relaxing there,and beging for your dream intertwined in your long fingers,and while wiping your forehead you understand that godo arrived and your wait remained an endless wait,img2poems
317,close your doors,i am the guardian,nothing belongs to you,img2poems
318,i stand tall and am a dad,as lively i fly in sky,along with my little sanson-lad,img2poems
319,as i pull over to a stop,seeing a twenty tun tractor coming towards me,all i think is there goes my mirror,img2poems
320,o poor moon,you're just about your own radiant business,and all these freaks put it at your doorstep,img2poems
321,i declare this tower is my symbol i declare,this winding gyring spiring treadmill of a stair is my ancestral stair,that goldsmith and the dean berkeley and burke have travelled there,img2poems
322,saeva indignatio and the labourer's hire,the strength that gives our blood and state magnanimity of its own desire,everything that is not god consumed with intellectual fire,img2poems
323,kral majales,june,boulder colorado,img2poems
324,stomp stomp for home-made music,vibrations under skin,life's songs in your very own hands,img2poems
325,a mass grave,to protect humans,from chicken flu,img2poems
326,no-one else listens,food is prepared,everyone shouts commands,img2poems
327,plates clatter,cutlery rattles,monks chant,img2poems
328,what is revealed in its rise and fall,who stirs,who recedes,img2poems
329,having fixed the stars in space,nicolaus copernicus sets the world,into motion,img2poems
330,dispelling the notion,of an earth at rest,at the centre of the universe,img2poems
331,incredulous at his own audacity,copernicus repeatedly wipes his brow,and furiously paces his study,img2poems
332,finding his own place in space,copernicus awaits his death,a rigid motion transformation,img2poems
333,everything is alive so that i can be alive,without moving i can see it all,in your life i see everything that lives,img2poems
334,watch birth and death,the lotus has already,opened its flower,img2poems
335,who can utter,the praise of such generosity,or the shame,img2poems
336,take strong liquor to the workers,so that their strength may be calmed,until the sea-bathe at noon,img2poems
337,we see the longer shadows of the sun,and sadden for the crane's flight has begun,remembering it was here that kore was lost,img2poems
338,elated is your face,placid is thou mind,perhaps in me - the reason you'll find,img2poems
339,when your heart trumpets with pride,and the highest achiever is shy,perhaps in me - the reason may lie,img2poems
340,when your head is held high,and the biggest malady at cure,perhaps in me - humanity is pure,img2poems
341,when your fictional dreams come true,and all your fancies is the reality before you,perhaps the reason is all that i aspire to do,img2poems
342,when your expressions exhibit glory,and your brow speaks that out,perhaps the reason is me - my toiling bout,img2poems
343,when you feel to love,and you intend for life,perhaps the reason is me - i have appeased your strife,img2poems
344,a good broadening smile,filled with the joys of spring,perhaps the reason is me - the little i could bring,img2poems
345,when your eyes appreciate,and your hands urge to bless,perhaps its me - i am the praise,img2poems
346,when i feel blessed with a divine touch,a heavenly halo surrounding me,perhaps you mom is the reason of what i can be,img2poems
347,someone always told me this with tears in her eyes,a wife left south africa in the 's to join her husband,who was in exile at the time,img2poems
348,too much tumor there they'd said blandly,so in the end that's how she had lain on the pyre,and breathed in our hearts,img2poems
349,most hurt on our neglect,but never neglect us,as nothing precious to her than us,img2poems
350,when the branch fell off the tree it made an almighty noise,says mum,so we went downstairs to investigate,img2poems
351,child the house is lonely,i feel alien in native acreage,come dear come back to womb,img2poems
352,she knew this would lead to repentance,cakes she baked little stories she faked,but every night she lay awake,img2poems
353,a harmony writ in her mind,an insecure feeling,that she might lose all her right,img2poems
