,0,1,2,haiku,lang
178,lunch al fresco,leaving out a chair,for the sun ,"lunch al fresco
leaving out a chair
for the sun ",en
179,the attention,his dog gets -,homeless man,"the attention
his dog gets -
homeless man",en
181,remembering a song,from my childhood,plum blossoms,"remembering a song
from my childhood
plum blossoms",en
183,father’s pills,the palette of,autumn leaves,"father’s pills
the palette of
autumn leaves",en
185,end of summer,our memories,in zip files,"end of summer
our memories
in zip files",en
187,waking up,with freckles & curls,summer break,"waking up
with freckles & curls
summer break",en
189,long night,on my window—a spider,climbing the moon,"long night
on my window—a spider
climbing the moon",en
191,train window,the fingerprints,from past journeys,"train window
the fingerprints
from past journeys",en
193,old love letter,the crinkled edges,of poppy petals,"old love letter
the crinkled edges
of poppy petals",en
195,his scent gone,from every room,winter jasmine,"his scent gone
from every room
winter jasmine",en
197,overnight snow,his side of the bed,untouched,"overnight snow
his side of the bed
untouched",en
199,forest trail,running to the end,of my thoughts,"forest trail
running to the end
of my thoughts",en
201,learning to eat,around bruises,winter apples,"learning to eat
around bruises
winter apples",en
203,winter night ,extending my word ,on scrabble,"winter night 
extending my word 
on scrabble",en
205,thumbing through,an old rolodex,winter light,"thumbing through
an old rolodex
winter light",en
207,dandelion field,my voice dissipates,in the wind,"dandelion field
my voice dissipates
in the wind",en
209,trailing behind,the other hikers,taste of dust,"trailing behind
the other hikers
taste of dust",en
211,summer break,the sun scatters,my freckles,"summer break
the sun scatters
my freckles",en
213,summer’s end,in a jar of shells,the smell of salt air,"summer’s end
in a jar of shells
the smell of salt air",en
215,early morning dew,squeezing the last drop,from my teabag,"early morning dew
squeezing the last drop
from my teabag",en
217,spring fever,tree roots cracking,the concrete,"spring fever
tree roots cracking
the concrete",en
219,tourist season,the zen garden,fills up with noise,"tourist season
the zen garden
fills up with noise",en
221,unknotting,the phone cord,mother’s day,"unknotting
the phone cord
mother’s day",en
223,glowing embers,I start my story,from the end,"glowing embers
I start my story
from the end",en
225,learning to eat ,around bruises ,winter apples,"learning to eat 
around bruises 
winter apples",en
227,office window,comings and goings,of butterflies,"office window
comings and goings
of butterflies",en
229,beach stroll,dipping our feet,in the stars,"beach stroll
dipping our feet
in the stars",en
231,all day rain,lowering the blinds,in her dollhouse,"all day rain
lowering the blinds
in her dollhouse",en
233,late night stroll,through parted curtains,lives of others,"late night stroll
through parted curtains
lives of others",en
235,dusting off,the piano keys,autumn wind,"dusting off
the piano keys
autumn wind",en
237,autumn rain,puddles fill up,with moonlight,"autumn rain
puddles fill up
with moonlight",en
239,mountain cave --,from out of darkness,the morning light,"mountain cave --
from out of darkness
the morning light",en
241,after its first flight,the young gerfalcon's talons,tighter on my glove,"after its first flight
the young gerfalcon's talons
tighter on my glove",en
243,winter roses,I am tired of reading,between the lines,"winter roses
I am tired of reading
between the lines",en
245,storm--,the monologue,of every tree,"storm--
the monologue
of every tree",en
247,candle snuffer--,our eyes adjust,to the smoke wisp,"candle snuffer--
our eyes adjust
to the smoke wisp",en
249,the patter and hiss ,of gentle raining,--cloudlight ,"the patter and hiss 
of gentle raining
--cloudlight ",en
250,lull--,reading into the braille ,of your goose bumps,"lull--
reading into the braille 
of your goose bumps",en
252,afternoon malaise--,slant light ,at the oranges bowl,"afternoon malaise--
slant light 
at the oranges bowl",en
254,first day of school--,the house fills with the space ,between second hand ticks,"first day of school--
the house fills with the space 
between second hand ticks",en
256,downpour--,the dead animal smell,shifts toward memory,"downpour--
the dead animal smell
shifts toward memory",en
258,dusk--,the last whistle of something,as I turn on a reading light,"dusk--
the last whistle of something
as I turn on a reading light",en
260,airport window--,the cloud of my breath,as your plane reaches the clouds,"airport window--
the cloud of my breath
as your plane reaches the clouds",en
262,midnight moon--,afraid,to turn another page,"midnight moon--
afraid
to turn another page",en
264,in the no-name vine,bluebirds,at the red berries,"in the no-name vine
bluebirds
at the red berries",en
266,fresh snow--,the new neighbors,with all the porch lights on,"fresh snow--
the new neighbors
with all the porch lights on",en
268,night shift--,a quick break,to look at the stars...,"night shift--
a quick break
to look at the stars...",en
270,freeze warning--,light from the arc welder,brightens the night,"freeze warning--
light from the arc welder
brightens the night",en
272,freeze warning--,the need to pee,once we hit traffic,"freeze warning--
the need to pee
once we hit traffic",en
274,freeze warning--,just enough change,for coffee,"freeze warning--
just enough change
for coffee",en
276,freeze warning---,from the end of the bar,she looks back,"freeze warning---
from the end of the bar
she looks back",en
278,freeze warning--,a couple of homeless guys,feeding seagulls,"freeze warning--
a couple of homeless guys
feeding seagulls",en
280,dust--,distant thunder,moves on,"dust--
distant thunder
moves on",en
282,porn shop--,each cock,stares at her,"porn shop--
each cock
stares at her",en
284,scrabble dictionary--,lighting one candle,from another,"scrabble dictionary--
lighting one candle
from another",en
286,rusting nail--,the coffinmaker,talks of price,"rusting nail--
the coffinmaker
talks of price",en
288,labor day-,i dust of,my resume,"labor day-
i dust of
my resume",en
290,that fart,prayer fans,all sermon long,"that fart
prayer fans
all sermon long",en
291,thaw--,a winter moth struggles,against a spider thread,"thaw--
a winter moth struggles
against a spider thread",en
293,skylight-,a contrail crosses,her line of coke,"skylight-
a contrail crosses
her line of coke",en
295,antique store-,the ocean loud,in a seashell,"antique store-
the ocean loud
in a seashell",en
297,dusk--,songbirds' voices,disappear too,"dusk--
songbirds' voices
disappear too",en
299,indian summer-,rouging her cheeks,as she waits for a drink,"indian summer-
rouging her cheeks
as she waits for a drink",en
301,evening service --,light beams,into the night,"evening service --
light beams
into the night",en
303,food channel --,"between commercials,",dinner burns,"food channel --
between commercials,
dinner burns",en
305,autumn,along the highway,buzzards wait,"autumn
along the highway
buzzards wait",en
307,evening shadows…,the things we deny,become more visible,"evening shadows…
the things we deny
become more visible",en
309,rain puddle . . .,a refugee child stirs,the cold moon,"rain puddle . . .
a refugee child stirs
the cold moon",en
311,wildflowers,in each clay pot,abandoned family garden,"wildflowers
in each clay pot
abandoned family garden",en
313,cold winter —,another patch,in the old blanket,"cold winter —
another patch
in the old blanket",en
315,withered peony,her love story,after menopause,"withered peony
her love story
after menopause",en
317,women’s day —,nothing has changed,except her Facebook status,"women’s day —
nothing has changed
except her Facebook status",en
319,climatic change —,under heavy snow,the refugee camp,"climatic change —
under heavy snow
the refugee camp",en
383,jury duty,the clock pendulum goes,back and forth,"jury duty
the clock pendulum goes
back and forth",en
385,summer breeze--,someone practices drums,in the valley,"summer breeze--
someone practices drums
in the valley",en
387,no rain--,the sound of crunched,grass,"no rain--
the sound of crunched
grass",en
389,museum--,so hot the mummy,sweats,"museum--
so hot the mummy
sweats",en
391,summer rain--,drops descend the lily,leaf by leaf,"summer rain--
drops descend the lily
leaf by leaf",en
393,hail storm,the golfers run,for cover,"hail storm
the golfers run
for cover",en
395,night sax. . .,dreams in,B flat,"night sax. . .
dreams in
B flat",en
397,between,thunder and lightning,zero,"between
thunder and lightning
zero",en
399,I rescue,a mouse from the cat--,burnt steak,"I rescue
a mouse from the cat--
burnt steak",en
403,Memorial Day,an old couple rereads,the letter,"Memorial Day
an old couple rereads
the letter",en
405,Saturday night--,someone vomits beneath,the blossoms,"Saturday night--
someone vomits beneath
the blossoms",en
407,evening rain—,buying cherry trees,online,"evening rain—
buying cherry trees
online",en
409,mid April,the grass finally,looks like grass,"mid April
the grass finally
looks like grass",en
411,noon sun--,someone playing scales,on a saxophone,"noon sun--
someone playing scales
on a saxophone",en
413,shaving--,I share the mirror,with a spider,"shaving--
I share the mirror
with a spider",en
415,spring flies,buzz above my head--,E flat,"spring flies
buzz above my head--
E flat",en
417,starless sky—,dead batteries,in the flashlight,"starless sky—
dead batteries
in the flashlight",en
419,out of the fog—,a white barn with painted,butterflies,"out of the fog—
a white barn with painted
butterflies",en
421,paint peels off,the old white house—,March thaw,"paint peels off
the old white house—
March thaw",en
423,same path,even in deep snow—,the blind horse,"same path
even in deep snow—
the blind horse",en
425,spring day,two hawks circle below,the contrails,"spring day
two hawks circle below
the contrails",en
427,spring rain,cars slowly leave,the cemetery,"spring rain
cars slowly leave
the cemetery",en
429,beautiful orange butterfly,lands on his shoulder~,oblivious,"beautiful orange butterfly
lands on his shoulder~
oblivious",en
431,trembling,the hair ribbon falls,with inhibitions,"trembling
the hair ribbon falls
with inhibitions",en
433,sixty miles later,red leaves from my mum’s garden ,stuck to my windscreen,"sixty miles later
red leaves from my mum’s garden 
stuck to my windscreen",en
435,profound blue of night ,the resin and salt of pines,so far from the sea,"profound blue of night 
the resin and salt of pines
so far from the sea",en
437,scattered in the ditch ,like tiny scraps of blue sky,bits of plastic bag,"scattered in the ditch 
like tiny scraps of blue sky
bits of plastic bag",en
439,japanese garden -,the pouring rain,on the stone buddha,"japanese garden -
the pouring rain
on the stone buddha",en
441,spring sun -,the yellow house,just painted,"spring sun -
the yellow house
just painted",en
443,leap year -,the old man's cane,also left its tracks,"leap year -
the old man's cane
also left its tracks",en
445,wild life -,a fly crosses,in front of the TV,"wild life -
a fly crosses
in front of the TV",en
447,traffic jam -,Moon passes through,the Earth's shadow,"traffic jam -
Moon passes through
the Earth's shadow",en
449,guest room -,the silence of the moon,at the window,"guest room -
the silence of the moon
at the window",en
451,sleepless night -,full moon has arrived,to other window,"sleepless night -
full moon has arrived
to other window",en
453,winter darkness -,last train runs,into the tunnel,"winter darkness -
last train runs
into the tunnel",en
455,winter day -,all those nude statues,in the park,"winter day -
all those nude statues
in the park",en
457,winter blackout -,all the house,full of night,"winter blackout -
all the house
full of night",en
459,clear sky -,an old man sweeps,fallen leaves,"clear sky -
an old man sweeps
fallen leaves",en
461,tonight's quake -,trees without leaves,at sunshine,"tonight's quake -
trees without leaves
at sunshine",en
463,empty room -,the shadows of nails,on the walls,"empty room -
the shadows of nails
on the walls",en
465,humid morning -,a bee floats,in the fountain,"humid morning -
a bee floats
in the fountain",en
467,autumn flowers -,old men at the park,taking the sun,"autumn flowers -
old men at the park
taking the sun",en
469,back to school -,the sun lights,the orange juice,"back to school -
the sun lights
the orange juice",en
471,distant hurricane -,in the middle of the rain,a phone rings,"distant hurricane -
in the middle of the rain
a phone rings",en
473,distant thunder -,a businessman talking ,on cell phone,"distant thunder -
a businessman talking 
on cell phone",en
475,spring rain -,between she and me,hundreds of drops,"spring rain -
between she and me
hundreds of drops",en
477,monday morning -,a white butterfly follows,the train line,"monday morning -
a white butterfly follows
the train line",en
479,after the quake,a leaf falls,on the patio,"after the quake
a leaf falls
on the patio",en
481,waiting for the bus,a street dog sniffs,my shadow,"waiting for the bus
a street dog sniffs
my shadow",en
483,sound of the rain -,after a while,she calls my name,"sound of the rain -
after a while
she calls my name",en
485,window pane -,at the end of my finger,the cold moon,"window pane -
at the end of my finger
the cold moon",en
487,spring break -,colorful tents,in the desert,"spring break -
colorful tents
in the desert",en
489,long trip -,at the end of highway,the moon,"long trip -
at the end of highway
the moon",en
491,cityscape -,the moon rises,from a chimney,"cityscape -
the moon rises
from a chimney",en
493,waiting for the bus -,at the end of the street,sunset,"waiting for the bus -
at the end of the street
sunset",en
495,warm winter day -,the smell of,a new book,"warm winter day -
the smell of
a new book",en
497,factory wall -,the smell of,a new graffiti,"factory wall -
the smell of
a new graffiti",en
499,half yellow moon -,workers talk about,tortillas,"half yellow moon -
workers talk about
tortillas",en
501,Valentine's day -,the heart balloon,don't enters the taxi,"Valentine's day -
the heart balloon
don't enters the taxi",en
503,trash can -,flies,and shadows of flies,"trash can -
flies
and shadows of flies",en
505,traffic jam -,women talk about men,in the radio,"traffic jam -
women talk about men
in the radio",en
507,abandoned car -,accumulated leaves,on the windshield,"abandoned car -
accumulated leaves
on the windshield",en
509,sudden rain -,fallen candies,on the sidewalk,"sudden rain -
fallen candies
on the sidewalk",en
511,empty square -,no more,Christmas lights,"empty square -
no more
Christmas lights",en
513,new year light -,dust of one day,on the keyboard,"new year light -
dust of one day
on the keyboard",en
515,cold rain -,thousands like me,going to work,"cold rain -
thousands like me
going to work",en
517,monday dawn -,the silence,of traffic lights,"monday dawn -
the silence
of traffic lights",en
519,first frost -,only two passengers,speak...,"first frost -
only two passengers
speak...",en
521,subway heat -,the breeze,of the arriving train ,"subway heat -
the breeze
of the arriving train ",en
523,traffic jam -,another star appears,in the sky,"traffic jam -
another star appears
in the sky",en
525,waiting for the bus -,my shadow,also changes postures,"waiting for the bus -
my shadow
also changes postures",en
527,lightning at window -,the stopped train,in the storm,"lightning at window -
the stopped train
in the storm",en
529,windless day -,a man whistling,on the street,"windless day -
a man whistling
on the street",en
531,traffic at night -,she talks about,cholesterol,"traffic at night -
she talks about
cholesterol",en
533,night of stars -,moths circle,the street lamp,"night of stars -
moths circle
the street lamp",en
535,turn off the lights -,the night outside,and inside the room,"turn off the lights -
the night outside
and inside the room",en
537,autumn cleaning -,a desk drawer,full of dry pens,"autumn cleaning -
a desk drawer
full of dry pens",en
539,the taxi driver,tells me about his life -,autumn rain,"the taxi driver
tells me about his life -
autumn rain",en
541,pigeons on wires -,he tunes his guitar,beside a pole,"pigeons on wires -
he tunes his guitar
beside a pole",en
545,night of stars -,a white ball floats,in the pool,"night of stars -
a white ball floats
in the pool",en
547,cloudy day -,the horn,of a yellow cab,"cloudy day -
the horn
of a yellow cab",en
549,bus stop -,a woman's perfume,in the air,"bus stop -
a woman's perfume
in the air",en
551,subway window -,she smiles at,my reflection,"subway window -
she smiles at
my reflection",en
553,looking at her,childhood photos,my girlfriend older than me,"looking at her
childhood photos
my girlfriend older than me",en
555,morning sun -,the long shadows,of little stones,"morning sun -
the long shadows
of little stones",en
557,crescent moon -,she is cutting her nails,in the garden,"crescent moon -
she is cutting her nails
in the garden",en
559,night of stars,in the next room,my sick mother,"night of stars
in the next room
my sick mother",en
561,new year's balloons -,the pregnant woman,staring at the mirror,"new year's balloons -
the pregnant woman
staring at the mirror",en
563,cloudy sunset -,a lone traffic light,turns red,"cloudy sunset -
a lone traffic light
turns red",en
565,soccer championship,the winter moon,on the stadium,"soccer championship
the winter moon
on the stadium",en
567,christmas lights,the silhouette of trees,in the dark,"christmas lights
the silhouette of trees
in the dark",en
569,winterscape -,a traffic sign in the snow,points to no way,"winterscape -
a traffic sign in the snow
points to no way",en
571,glass tower -,the moon is part,of the west facade,"glass tower -
the moon is part
of the west facade",en
573,crowded bus,every passenger breathes,the same autumn,"crowded bus
every passenger breathes
the same autumn",en
575,new yellow car,autumn leaves,on the windscreen,"new yellow car
autumn leaves
on the windscreen",en
577,bus window -,she travels with the full moon,on her head,"bus window -
she travels with the full moon
on her head",en
579,thicker dust,on a little Buddha -,early autumn,"thicker dust
on a little Buddha -
early autumn",en
581,sidewalk cafe,on the empty seats,fallen leaves,"sidewalk cafe
on the empty seats
fallen leaves",en
583,dogs barking,perhaps I was a cat,in other life,"dogs barking
perhaps I was a cat
in other life",en
585,scent of rain,in the open window,no mosquito,"scent of rain
in the open window
no mosquito",en
587,autumn wind,a line of red traffic lights,becomes sunset,"autumn wind
a line of red traffic lights
becomes sunset",en
589,subway window,she and her reflection,cry at the same time,"subway window
she and her reflection
cry at the same time",en
591,20 million city,another street lamp,into the night,"20 million city
another street lamp
into the night",en
593,a line of traffic lights,change from red to green,summer full moon,"a line of traffic lights
change from red to green
summer full moon",en
595,apartment tower,a new letter,for the dead neighbor,"apartment tower
a new letter
for the dead neighbor",en
597,washing my clothes,somebody looks at me,crescent moon,"washing my clothes
somebody looks at me
crescent moon",en
599,cloudy day,a penny shines,on the sidewalk,"cloudy day
a penny shines
on the sidewalk",en
601,open window,the sound of rain,interrupts my dream,"open window
the sound of rain
interrupts my dream",en
603,summer rain,another me walks home,under me,"summer rain
another me walks home
under me",en
605,flea market,a still fly is part,of the old clock,"flea market
a still fly is part
of the old clock",en
607,with each sip,from the bottle,moonlight on my face,"with each sip
from the bottle
moonlight on my face",en
609,fallen leaves,some stars shine,in the sky,"fallen leaves
some stars shine
in the sky",en
611,unemployed,but I'm writing haiku,about the rain,"unemployed
but I'm writing haiku
about the rain",en
613,waiting room,stars appear,one by one,"waiting room
stars appear
one by one",en
615,a line of ants,the empire state building,in the distance,"a line of ants
the empire state building
in the distance",en
619,pan-fried trout,I learn something new,about my father,"pan-fried trout
I learn something new
about my father",en
621,long before I came,long after I leave,blossoming pear,"long before I came
long after I leave
blossoming pear",en
623,falling star,another woman says,'me too',"falling star
another woman says
'me too'",en
625,winter solstice,the growing darkness,on death row,"winter solstice
the growing darkness
on death row",en
627,a hearse leaves,the prison compound,cold moon,"a hearse leaves
the prison compound
cold moon",en
629,summer heat,dragonflies escape from,the convict's pencil,"summer heat
dragonflies escape from
the convict's pencil",en
631,Independence Day,watchtower guards,locked and loaded,"Independence Day
watchtower guards
locked and loaded",en
633,the convict's debt,nearly paid in full,waning moon,"the convict's debt
nearly paid in full
waning moon",en
635,wind chill,a few crows among,the homeless,"wind chill
a few crows among
the homeless",en
637,year end,a convict's calendar,full of X's,"year end
a convict's calendar
full of X's",en
639,visiting day,blue mascara on,a convict's wife,"visiting day
blue mascara on
a convict's wife",en
641,waning moon,a faux cease-fire,in Aleppo,"waning moon
a faux cease-fire
in Aleppo",en
643,Pearl Harbor Day,the Koi pond littered,with fallen leaves,"Pearl Harbor Day
the Koi pond littered
with fallen leaves",en
645,the snake's dead skin,left in the driveway,Mustang Cobra,"the snake's dead skin
left in the driveway
Mustang Cobra",en
647,amid war,and rumors of war. . .,another grandchild,"amid war
and rumors of war. . .
another grandchild",en
649,spring cleaning,long neglected baseball cards,see the light of day,"spring cleaning
long neglected baseball cards
see the light of day",en
651,long night,the waterfall's,icy silence,"long night
the waterfall's
icy silence",en
653,gale winds,the stone Buddha,remains centered,"gale winds
the stone Buddha
remains centered",en
655,windstorm,the berry stains,on the path,"windstorm
the berry stains
on the path",en
657,pissing in a puddle,droplets of moonlight,on her sandal,"pissing in a puddle
droplets of moonlight
on her sandal",en
659,indian summer,the neighbor's daughter sunbathes,beside their empty pool,"indian summer
the neighbor's daughter sunbathes
beside their empty pool",en
661,chill night,new fallen pear blossoms,glow in the moonlight,"chill night
new fallen pear blossoms
glow in the moonlight",en
663,fresh cut lawn,a dozen fireflies,inspect the job,"fresh cut lawn
a dozen fireflies
inspect the job",en
665,mother’s day,he laces,her shoes,"mother’s day
he laces
her shoes",en
667,breakup —,my daughter's voice cracks,across two continents,"breakup —
my daughter's voice cracks
across two continents",en
669,just friends —,a taste of summer,in her kiss,"just friends —
a taste of summer
in her kiss",en
671,fired—,at last i wake,on time,"fired—
at last i wake
on time",en
673,day of blossoms,a nurse erases,mother’s name ,"day of blossoms
a nurse erases
mother’s name ",en
674,mother's day,a nurse unties,the restraints,"mother's day
a nurse unties
the restraints",en
676,mother gone,moonlight shimmers,the last white rose,"mother gone
moonlight shimmers
the last white rose",en
678,moving day —,the kids pack up,my first marriage,"moving day —
the kids pack up
my first marriage",en
680,morphine drip,my father asks me,for more time,"morphine drip
my father asks me
for more time",en
682,stonehenge—,scent of lemon,from the hotel soap,"stonehenge—
scent of lemon
from the hotel soap",en
704,waiting the morning,the sun at the tip of the branches,of the maple tree,"waiting the morning
the sun at the tip of the branches
of the maple tree",en
706,changing winds,bring up your kite,and the Dow,"changing winds
bring up your kite
and the Dow",en
709,summer solstice,longer days,shorter writings,"summer solstice
longer days
shorter writings",en
711,spring wind,scattering flowers of the magnolia,her nineteen years,"spring wind
scattering flowers of the magnolia
her nineteen years",en
714,bowing one's head,passing under the lilac,heavy with snow,"bowing one's head
passing under the lilac
heavy with snow",en
716,last note,before she takes the bus,cold Winter morning,"last note
before she takes the bus
cold Winter morning",en
718,passing --,between the shadow of the maple,and the moon,"passing --
between the shadow of the maple
and the moon",en
721,last moon,before irradiation,Hiroshima ,"last moon
before irradiation
Hiroshima ",en
723,fresh autumn breeze,or the advance of age?,forgotten tea...,"fresh autumn breeze
or the advance of age?
forgotten tea...",en
725,moonless night,a cereus cactus opens,solstice blooms,"moonless night
a cereus cactus opens
solstice blooms",en
727,sudden gust,carp leap from poles,to gulp the air,"sudden gust
carp leap from poles
to gulp the air",en
729,chill wind,beneath the monk's robe,a naked monk,"chill wind
beneath the monk's robe
a naked monk",en
731,screen of pine,white silence glides,on egret wings,"screen of pine
white silence glides
on egret wings",en
733,sand through fingers,a tracery of palms,on midnight blue,"sand through fingers
a tracery of palms
on midnight blue",en
734,silken winds,i am wrapped in quietness,of cottonwood seeds,"silken winds
i am wrapped in quietness
of cottonwood seeds",en
735,back and forth,grinding ink slowly,the weight of my words,"back and forth
grinding ink slowly
the weight of my words",en
739,fogged window,a blend of green and gray -,hot tea with milk,"fogged window
a blend of green and gray -
hot tea with milk",en
741,morning fog,dissolving cypress -,sfumato,"morning fog
dissolving cypress -
sfumato",en
743,slice of moon,the scent of jasmine spills,into thick darkness,"slice of moon
the scent of jasmine spills
into thick darkness",en
745,all day rain -,i add more flour ,to the kneaded dough. ,"all day rain -
i add more flour 
to the kneaded dough. ",en
747,march snow...,the scent of lilacs,pressed in my book,"march snow...
the scent of lilacs
pressed in my book",en
749,windless night,a deeper silence,after the train,"windless night
a deeper silence
after the train",en
751,december night,now and then,the owl's soft voice,"december night
now and then
the owl's soft voice",en
753,the lonely feeling,of dylan's harmonica,evening star,"the lonely feeling
of dylan's harmonica
evening star",en
755,evening train,going the same way,as the sun,"evening train
going the same way
as the sun",en
757,old roses,blooming again,september evening,"old roses
blooming again
september evening",en
759,cottonwood leaves,the quiet way,they soften the night ,"cottonwood leaves
the quiet way
they soften the night ",en
760,insomnia,a light flickers,in the foothills,"insomnia
a light flickers
in the foothills",en
762,chinook wind,the softness of a day,in february,"chinook wind
the softness of a day
in february",en
764,long day over,at last,alone with the wind,"long day over
at last
alone with the wind",en
766,insomnia,a lone light ,on the mountainside,"insomnia
a lone light 
on the mountainside",en
768,nightfall..,my thoughts linger awhile,on the old days,"nightfall..
my thoughts linger awhile
on the old days",en
770,winter night,old trees,filled with stars,"winter night
old trees
filled with stars",en
772,as if,summer had no end,wildflowers,"as if
summer had no end
wildflowers",en
774,all-day headache . . .,watching the moon rise,with the wind,"all-day headache . . .
watching the moon rise
with the wind",en
776,winter pond,my stone ricochets,into the reeds,"winter pond
my stone ricochets
into the reeds",en
778,echoes,two owls somewhere,in the night,"echoes
two owls somewhere
in the night",en
780,insomnia,the sound of a goose,lost in the night,"insomnia
the sound of a goose
lost in the night",en
782,the lonely feeling,of dylan's harmonica,evening star ,"the lonely feeling
of dylan's harmonica
evening star ",en
783,the time it takes to learn,how to be silent,blue mountains,"the time it takes to learn
how to be silent
blue mountains",en
785,homesick,a hot wind rattles,the cottonwood leaves  ,"homesick
a hot wind rattles
the cottonwood leaves  ",en
787,huddled cows,their steam thickens,the valley mist ,"huddled cows
their steam thickens
the valley mist ",en
789,gaza,murdered children,my faded lilacs,"gaza
murdered children
my faded lilacs",en
791,alep bombings,at my bathroom window,the misted full moon,"alep bombings
at my bathroom window
the misted full moon",en
793,schedule screen,the spider spinned its web,between two tramways ---,"schedule screen
the spider spinned its web
between two tramways ---",en
795,in the greyness,the rosé bottle,of the homeless ---,"in the greyness
the rosé bottle
of the homeless ---",en
797,subway station,ads as only light,the day after the bombs,"subway station
ads as only light
the day after the bombs",en
799,leap year,looking a her twins,a squinting woman ---,"leap year
looking a her twins
a squinting woman ---",en
801,less cars,in front of the brothels,valentine's day ---,"less cars
in front of the brothels
valentine's day ---",en
803,on my smartphone,mount fuji in the sunset,morning coffee ---,"on my smartphone
mount fuji in the sunset
morning coffee ---",en
805,after the bell,just the rain on the umbrellas,ashes to ashes ,"after the bell
just the rain on the umbrellas
ashes to ashes ",en
806,for just a moment,the warmth of our tears,cold rain,"for just a moment
the warmth of our tears
cold rain",en
808,morning run,observing me at the observatory,the fox,"morning run
observing me at the observatory
the fox",en
810,the evasive look,of a teen without make up,first buds,"the evasive look
of a teen without make up
first buds",en
812,evening bus,this man in the reflection,is it me?,"evening bus
this man in the reflection
is it me?",en
814,her cooled tea,in the middle of the table,first snow --- ,"her cooled tea
in the middle of the table
first snow --- ",en
816,evening tram,her diamond on her nose,a star --- ,"evening tram
her diamond on her nose
a star --- ",en
