,0,1,2,source
24,She glances expectantly,"Through the pine avenue, To the cherry-tree summit",Where her lover will appear.,gutenberg
25,Faint rose anticipation colours,"her, And sunset; She is a cherry-tree that",has taken long to bloom.,gutenberg
26,Late summer changes to,autumn: Chrysanthemums are scattered,Behind the palings.,gutenberg
27,Gold and,vermilion The,afternoon.,gutenberg
28,I wait here dreaming of vermilion,sunsets: In my heart is a half fear,of the chill autumn rain.,gutenberg
29,The daimyo,and the courtesan Compliment,each other.,gutenberg
30,He invites her to walk,"out through the maples, She half refuses,",hiding fear in her heart.,gutenberg
31,Far in the shadow The,"daimyo's attendant waits,",Nervously fingering his sword.,gutenberg
32,She is like the great,rains That fall over the,earth in winter-time.,gutenberg
33,Wave on wave her heavy,robes collapse In green torrents,Lashed with slaty foam.,gutenberg
34,Downward the sun strikes amid them And,enkindles a lone flower; A violet iris,standing yet in seething pools of grey.,gutenberg
35,Gaily he,offers Packets,of merchandise.,gutenberg
36,He is a harlequin of,"illusions, His nimble features Skip into smiles,","like rainbows, Cheating the villagers.",gutenberg
37,But in his heart all the while is,"another knowledge, The sorrow of the bleakness",of the long wet winter night.,gutenberg
38,One life is a long summer; Tall,hollyhocks stand proud upon its paths; Little yellow,"waves of sunlight, Bring scarlet butterflies.",gutenberg
39,"Another life is a brief autumn, Fierce",storm-rack scrawled with lightning Passed over it Leaving the naked,"bleeding earth, Stabbed with the swords of the rain.",gutenberg
40,He plots for,"he is angry, He sneers",for he is bold.,gutenberg
41,He clinches his fist Like a twisted,"snake; Coiling itself, preparing to raise its head, Above",the long grasses of the plain.,gutenberg
42,I have forgotten how many,"times he kissed me, But I cannot forget A swaying",branch--a leaf that fell To earth.,gutenberg
43,He stands irresolute,Cloaking the light of,his lantern.,gutenberg
44,Tonight he will either find,"new love or a sword-thrust, But his soul is",troubled with ghosts of old regret.,gutenberg
45,Like vines with crimson,flowers They climb Upwards,Into his heart.,gutenberg
46,"She was a dream of moons, of fluttering handkerchiefs,","Of flying leaves, of parasols, A riddle made to break my heart; The lightest",impulse To her was more dear than the deep-toned temple bell.,gutenberg
47,She fluttered to my sword-hilt an,"instant, And then flew away; But who will spend",all day chasing a butterfly?,gutenberg
48,Swift waves hissing,Under the moonlight; Tarnished,silver.,gutenberg
49,Swaying boats Under,"the moonlight, Gold lacquered",prows.,gutenberg
50,Is it a vision,Under the,moonlight?,gutenberg
51,"No, it is only",A beautiful geisha,swaying down the street.,gutenberg
52,"Out of the rings and the bubbles, The curls and the","swirls of the water, Out of the crystalline shower of drops shattered","in play, Her body and her thoughts arose.",gutenberg
53,She dreamed of some lover To whom she,might offer her body Fresh and cool as,a flower born in the rain.,gutenberg
54,In their bark of bamboo,reeds The heavenly poetesses,Float across the sky.,gutenberg
55,Poems are falling from them Swift as the wind,that shakes the lance-like bamboo leaves; The stars close around like bubbles,Stirred by the silver oars of poems passing.,gutenberg
56,"Beware, for the",dying vine can hold The,strongest oak.,gutenberg
57,Only by,cutting at the root Can love,be altered.,gutenberg
58,Late in the night A,rosy glimmer yet defies,the darkness.,gutenberg
59,"But the evening is growing late, The blinds are",being lowered; She who held your heart and charmed you Is only,a rosy glimmer of flame remembered.,gutenberg
60,My thoughts are sparrows passing Through,one great wave that breaks In bubbles of gold,on a black motionless rock.,gutenberg
61,"Rain rattles on the pavement, Puddles",stand in the bluish stones; Afar in the,Yoshiwara Is she who holds my heart.,gutenberg
62,"Alas, the torn lantern",of my hope Trembles and sputters,in the rain.,gutenberg
63,I saw him pass at twilight;,He was a dark cloud travelling Over,palace roofs With one claw drooping.,gutenberg
64,In his face were written,ages Of patient treachery,And the knowledge of his hour.,gutenberg
65,One dainty,"thrust, no more Than","this, he needs.",gutenberg
66,His heart is like a wind Torn between cloud,and butterfly; Whether he will roll passively to,"one, Or chase endlessly the other.",gutenberg
67,My love for her at first,was like the smoke that drifts Across the,marshes From burning woods.,gutenberg
68,"But, after she had gone, It",was like the lotus that lifts up Its,heart shaped buds from the dim waters.,gutenberg
69,My heart is mournful as,thunder moving Through distant hills Late on,a long still night of autumn.,gutenberg
70,My heart is broken and mournful,As rain heard beating Far off in the distance,While earth is parched more near.,gutenberg
71,On my heart is the,black badge of exile; I droop over,"it, I accept its shame.",gutenberg
72,He only can bow to men Lofty as a god,"To those beneath him, Who has taken sins and sorrows And whose deathless spirit",leaps Beneath them like a golden carp in the torrent.,gutenberg
73,Through the weak spring rains,"Two lovers walk together, Holding",together the parasol.,gutenberg
74,But the laughing rains,of spring Will break the weak,green shoots of their love.,gutenberg
75,His will grow a towering,"stalk, Hers, a cowering flower",under it.,gutenberg
76,Spring rain falls through the,"cherry blossom, In long blue shafts On",grasses strewn with delicate stars.,gutenberg
77,The summer rain sifts,"through the drooping willow, Shatters",the courtyard Leaving grey pools.,gutenberg
78,The autumn rain drives,"through the maples Scarlet threads of sorrow,",Towards the snowy earth.,gutenberg
79,Would that the rains,of all the winters Might wash,away my grief!,gutenberg
80,"The cranes have come back to the temple,","The winds are flapping the flags about, Through a",flute of reeds I will blow a song.,gutenberg
81,Let my song sigh as the breeze through the,"cryptomerias, And pause like long flags flapping, And","dart and flutter aloft, like a wind-bewildered crane.",gutenberg
82,Chrysanthemums,bending Before the,wind.,gutenberg
83,Chrysanthemums,wavering In the black,choked grasses.,gutenberg
84,"The wind frowns at them, He",tears off a green and orange stalk,of broken chrysanthemum.,gutenberg
85,The chrysanthemums spread,"their flattered heads, And scurry",off before the wind.,gutenberg
86,"Storm-birds of autumn With draggled wings: Sleet-beaten, wind-tattered, snow-frozen, Stopping",in sheer weariness Between the gnarled red pine trees Twisted in doubt and,"despair; Whence do you come, pilgrims, Over what snow fields?",gutenberg
87,To what southern province,"Hidden behind dim peaks,",would you go?,gutenberg
88,"""Too long were the telling Wherefore",we set out; And where we will find rest,Only the Gods may tell.,gutenberg
89,The harmonies of the robes,of this gay lady Are like chants within a temple,sweeping outwards To the morn.,gutenberg
90,Sparrows and tame magpies,chatter In the porticoes Lit with many,a lantern.,gutenberg
91,"There is idle song, Scandal","over full wine cups, Sorrow",does not matter.,gutenberg
92,Only beyond the still grey shoji For the,"breadth of innumerable countries, Is the sea with",ships asleep In the blue-black starless night.,gutenberg
93,A squall,has struck the sea,afar off.,gutenberg
94,You can feel it quiver Over the paper,parasol With which she shields her face; In the drawn-together skirts,"of her robes, As she turns to meet it.",gutenberg
95,"Windy evening of autumn, By the","grey-green swirling river, People are resting like still boats Tugging",uneasily at their cramped chains.,gutenberg
96,"Some are moving slowly Like the easy winds: Brown-blue,","dull-green, the villages in the distance Sleep on the banks of the river:",The waters sullenly clash and murmur.,gutenberg
97,The chatter of the,"passersby, Is dulled beneath",the grey unquiet sky.,gutenberg
98,The green and violet,peacocks With golden,tails Parade.,gutenberg
99,Beneath the fluttering,jangling streamers They walk,Violet and gold.,gutenberg
100,The green and violet peacocks Through,"the golden dusk Showered upon them from the vine-hung lanterns,","Stately, nostalgically, Parade.",gutenberg
101,I will scrawl,on the walls of,the night Faces.,gutenberg
102,"Leering, sneering, scowling, threatening faces;","Weeping, twisting, yelling, howling faces; Faces fixed in a contortion","between a scream and a laugh, Meaningless faces.",gutenberg
103,I will cover the walls of night With,"faces, Till you do not know If these faces","are but masks, or you the masks for them.",gutenberg
104,"Faces too grotesque for laughter, Faces","too shattered by pain for tears, Faces of such ugliness",That the ugliness grows beauty.,gutenberg
105,"They will haunt you morning,","evening, Burning, burning, ever",returning.,gutenberg
106,"Their own infamy creating,","Till you strike at life and hate it, Burn",your soul up so in hating.,gutenberg
107,I will scrawl on the,"walls of the night Faces, Pitiless,","Flaring, Staring.",gutenberg
108,Her life was like a,"swiftly rushing stream Green and scarlet, Falling",into darkness.,gutenberg
109,"The seasons passed for her, Like","pale iris wilting, Or peonies flying",to ribbons before the storm-gusts.,gutenberg
110,The sombre,pine-tops waited until,the seasons had passed.,gutenberg
111,Then in her heart they grew The snows,of changeless winter Stirred by the bitter winds of,unsatisfied desire.,gutenberg
112,My thoughts are an autumn breeze,Lifting and hurrying Dry rubbish,about in a corner.,gutenberg
113,My thoughts are willow,branches Already broken,Motionless at twilight.,gutenberg
114,My beloved is like blue smoke that,"rises In long slow planes, And wavers Over the",dark paths of old gardens long neglected.,gutenberg
115,The wind shakes the mists Making,them quiver With faint drum-tones,of thunder.,gutenberg
116,Out of the crane-haunted mists,"of autumn, Blue and",brown Rolls the moon.,gutenberg
117,"There was a city living here long ago, Of","all that city There is only one stone left half-buried in the marsh, With",characters upon it which no one now can read.,gutenberg
118,Despair hangs in the broken,"folds of my garments; It clogs my footsteps,",Like snow in the cherry bloom.,gutenberg
119,In my heart is,the sorrow Of years like,red leaves buried in snow.,gutenberg
120,Pilgrims will ascend the road in,"early summer, Passing my tombstone","Mossy, long forgotten.",gutenberg
121,Girls will laugh and scatter,"cherry petals, Sometimes they will rest",in the twisted pine-trees' shade.,gutenberg
122,If one presses her warm lips to,this tablet The dust of my body will feel a,"thrill, deep down in the silent earth.",gutenberg
123,The sky spreads out its poor array Of tattered,"flags, Saffron and rose Over the weary huddle of housetops",Smoking their evening pipes in silence.,gutenberg
124,The city gleams with lights,this evening Like loud and yawning,laughter from red lips.,gutenberg
125,"As the fish that leaps from the river, As the dropping","of a November leaf at twilight, As the faint flicker of lightning down the","southern sky, So I saw beauty, far away.",gutenberg
126,I dreamed I caught your loveliness In little,"silver jars: And when you died I opened them, And",there was only soot within.,gutenberg
127,"Rain fell so softly, in the","evening, I almost thought it was",the trees that were talking.,gutenberg
128,Cities are the toy-boxes Time plays,with: And there are often many doll-houses,Of which the dolls are lost.,gutenberg
129,A poet's moods:,Fluttering butterflies,in the rain.,gutenberg
130,Grass moves in the,"wind, My soul is",backwards blown.,gutenberg
131,"Land, green-brown; Sea,","brown-grey; Island, dull peacock","blue; Sky, stone-grey.",gutenberg
132,Because of the long pallid,petals of white chrysanthemums Waving,"to and fro, I dare not go.",gutenberg
133,Swallows twittering,at twilight: Waves of heat Churned,to flames by the sun.,gutenberg
134,A bell in the fog Creeps out,echoing faintly The pale broad flashes,"Of vibrating twilight, Faded gold.",gutenberg
135,A piece of paper ready to,"toss in the fire, Blackened, scrawled with fragments",of an incomplete song: My soul.,gutenberg
136,There is a goddess who,walks shrouded by day: At night she throws,her blue veil over the earth.,gutenberg
137,Men only see her,naked glory through the little,holes in the veil.,gutenberg
138,An old courtyard,Hidden away In the,afternoon.,gutenberg
139,"Grey walks, Mossy stones, Copper carp swimming","lazily, And beyond, A faint toneless hissing",echo of rain That tears at my heart.,gutenberg
140,The splaying silhouette of horse-chestnut leaves Against,"the tall and delicate, patrician-tinged sky Like a princess",in blue robes behind a grille of bronze.,gutenberg
141,Dreaming,of both.,,gutenberg
142,"Here I am, an old man","in a dry month, Being read to","by a boy, waiting for rain.",gutenberg
143,I was neither at the hot gates Nor,"fought in the warm rain Nor knee deep in the salt marsh,","heaving a cutlass, Bitten by flies, fought.",gutenberg
144,"My house is a decayed house, And the jew squats on","the window sill, the owner, Spawned in some estaminet of Antwerp,","Blistered in Brussels, patched and peeled in London.",gutenberg
145,The goat coughs at night,"in the field overhead; Rocks, moss,","stonecrop, iron, merds.",gutenberg
146,"The woman keeps the kitchen,","makes tea, Sneezes at evening, poking",the peevish gutter.,gutenberg
147,I an old,"man, A dull head among windy",spaces.,gutenberg
148,Signs are taken,for,wonders.,gutenberg
149,"""We would see a sign"": The","word within a word, unable to speak","a word, Swaddled with darkness.",gutenberg
150,In the juvescence of the year Came Christ the tiger In,"depraved May, dogwood and chestnut, flowering Judas, To be eaten, to be","divided, to be drunk Among whispers; by Mr.",gutenberg
151,Vacant,shuttles,Weave the wind.,gutenberg
152,"I have no ghosts, An old",man in a draughty house Under,a windy knob.,gutenberg
153,After,"such knowledge,",what forgiveness?,gutenberg
154,Think now History has many cunning,"passages, contrived corridors And issues, deceives with","whispering ambitions, Guides us by vanities.",gutenberg
155,Think now She gives when our attention is,"distracted And what she gives, gives with such supple confusions",That the giving famishes the craving.,gutenberg
156,Gives too late What's not believed,"in, or if still believed, In memory","only, reconsidered passion.",gutenberg
157,"Gives too soon Into weak hands, what's",thought can be dispensed with Till the,refusal propagates a fear.,gutenberg
158,Think Neither,fear nor courage,saves us.,gutenberg
159,Unnatural,vices Are fathered by our,heroism.,gutenberg
160,These tears are,shaken from,the wrath-bearing tree.,gutenberg
161,The tiger,springs in,the new year.,gutenberg
162,Us,he,devours.,gutenberg
163,Think at last We have,"not reached conclusion, when I",Stiffen in a rented house.,gutenberg
164,Think at last I have not made this show,purposelessly And it is not by any,concitation Of the backward devils.,gutenberg
165,I would meet,you upon this,honestly.,gutenberg
166,I that was near your heart was,"removed therefrom To lose beauty in terror,",terror in inquisition.,gutenberg
167,I have lost my passion: why,should I need to keep it Since what is kept,must be adulterated?,gutenberg
168,"I have lost my sight, smell,","hearing, taste and touch: How should I use",it for your closer contact?,gutenberg
169,These with a thousand small deliberations Protract the profit,"of their chilled delirium, Excite the membrane, when the sense has cooled, With pungent sauces,",multiply variety In a wilderness of mirrors.,gutenberg
170,"What will the spider do,","Suspend its operations, will",the weevil Delay?,gutenberg
171,"De Bailhache,","Fresca,",Mrs.,gutenberg
172,"Cammel, whirled Beyond the",circuit of the shuddering Bear,In fractured atoms.,gutenberg
173,"Tenants of the house,",Thoughts of a dry brain in,a dry season.,gutenberg
174,--so the countess passed on until she,"came through the little park, where Niobe presented her","with a cabinet, and so departed.",gutenberg
175,Burbank crossed a little bridge,Descending at a small hotel; Princess Volupine,"arrived, They were together, and he fell.",gutenberg
176,Defunctive music under sea Passed,seaward with the passing bell Slowly: the God,"Hercules Had left him, that had loved him well.",gutenberg
177,"The horses, under the",axletree Beat up the dawn from,Istria With even feet.,gutenberg
178,Her shuttered barge,Burned on the water,all the day.,gutenberg
179,But this or such was Bleistein's way: A,"saggy bending of the knees And elbows, with the palms","turned out, Chicago Semite Viennese.",gutenberg
180,The smoky,candle end of time,Declines.,gutenberg
181,On the,Rialto,once.,gutenberg
182,The rats are,underneath,the piles.,gutenberg
183,The jew,is underneath,the lot.,gutenberg
184,Money,in furs.,,gutenberg
185,"Lights, lights, She",entertains Sir,Ferdinand Klein.,gutenberg
186,Who clipped the lion's,wings And flea'd his rump and,pared his claws?,gutenberg
187,"Thought Burbank,",meditating on Time's,"ruins, and the seven laws.",gutenberg
188,"And the trees about me, Let them be dry",and leafless; let the rocks Groan with continual surges;,and behind me Make all a desolation.,gutenberg
189,"Look,","look,",wenches!,gutenberg
190,Paint me a cavernous waste shore Cast in,"the unstilted Cyclades, Paint me the bold anfractuous",rocks Faced by the snarled and yelping seas.,gutenberg
191,Display me Aeolus above,Reviewing the insurgent gales Which tangle Ariadne's,hair And swell with haste the perjured sails.,gutenberg
192,Morning stirs the feet and hands,"(Nausicaa and Polypheme), Gesture of orang-outang",Rises from the sheets in steam.,gutenberg
193,Sweeney addressed full length to shave,"Broadbottomed, pink from nape to base, Knows the female",temperament And wipes the suds around his face.,gutenberg
194,"(The lengthened shadow of a man Is history,",said Emerson Who had not seen the silhouette,Of Sweeney straddled in the sun).,gutenberg
195,Tests the razor,on his leg Waiting until,the shriek subsides.,gutenberg
196,The epileptic,"on the bed Curves backward, clutching",at her sides.,gutenberg
197,"The ladies of the corridor Find themselves involved, disgraced, Call",witness to their principles And deprecate the lack of taste Observing that,hysteria Might easily be misunderstood; Mrs.,gutenberg
198,Turner intimates,It does the house no,sort of good.,gutenberg
199,"But Doris, towelled from the bath, Enters","padding on broad feet, Bringing sal volatile",And a glass of brandy neat.,gutenberg
200,Pipit sate upright in her chair Some distance,from where I was sitting; Views of the Oxford Colleges,"Lay on the table, with the knitting.",gutenberg
201,"Daguerreotypes and silhouettes,","Her grandfather and great great aunts, Supported on the",mantelpiece An Invitation to the Dance.,gutenberg
202,I shall not want Honour in Heaven For,I shall meet Sir Philip Sidney And have talk with,Coriolanus And other heroes of that kidney.,gutenberg
203,I shall not want Capital in Heaven For,"I shall meet Sir Alfred Mond: We two shall lie together,",lapt In a five per cent Exchequer Bond.,gutenberg
204,"I shall not want Society in Heaven, Lucretia",Borgia shall be my Bride; Her anecdotes will be more amusing,Than Pipit's experience could provide.,gutenberg
205,But where is the penny,world I bought To eat with Pipit,behind the screen?,gutenberg
206,The red-eyed scavengers are creeping,From Kentish Town and Golder's Green; Where are,the eagles and the trumpets?,gutenberg
207,Buried,beneath some,snow-deep Alps.,gutenberg
208,Over buttered scones and,"crumpets Weeping, weeping multitudes",Droop in a hundred A.,gutenberg
209,"'s [""ABC's"" signifes","endemic teashops, found",in all parts of London.,gutenberg
210,The initials,"signify ""Aerated","Bread Company, Limited.",gutenberg
211,IGNATII,AD,TRALLIANOS.,gutenberg
212,And when this epistle is read,"among you, cause that it be read also in",the church of the Laodiceans.,gutenberg
213,The broad-backed hippopotamus Rests on,his belly in the mud; Although he seems so firm,to us He is merely flesh and blood.,gutenberg
214,"Flesh-and-blood is weak and frail, Susceptible",to nervous shock; While the True Church can never fail For,it is based upon a rock.,gutenberg
215,The hippo's feeble steps may err In,"compassing material ends, While the True Church need never",stir To gather in its dividends.,gutenberg
216,The 'potamus can never reach The,mango on the mango-tree; But fruits of pomegranate and,peach Refresh the Church from over sea.,gutenberg
217,At mating time the hippo's voice Betrays,"inflexions hoarse and odd, But every week we hear rejoice","The Church, at being one with God.",gutenberg
218,The hippopotamus's day Is passed in,sleep; at night he hunts; God works in a mysterious,way- The Church can sleep and feed at once.,gutenberg
219,I saw the 'potamus take wing Ascending,"from the damp savannas, And quiring angels round him sing","The praise of God, in loud hosannas.",gutenberg
220,Blood of the Lamb shall wash him clean And him,"shall heavenly arms enfold, Among the saints he shall",be seen Performing on a harp of gold.,gutenberg
221,"He shall be washed as white as snow, By","all the martyr'd virgins kiss, While the True Church remains below",Wrapt in the old miasmal mist.,gutenberg
222,""" Mais alors,",tu as ton,vautour!,gutenberg
223,Webster was much possessed by death And,saw the skull beneath the skin; And breastless creatures under,ground Leaned backward with a lipless grin.,gutenberg
224,Daffodil bulbs,instead of balls Stared from the,sockets of the eyes!,gutenberg
225,He knew that thought clings,round dead limbs Tightening its,lusts and luxuries.,gutenberg
226,Grishkin is nice: her Russian eye Is,"underlined for emphasis; Uncorseted, her friendly",bust Gives promise of pneumatic bliss.,gutenberg
227,And even the Abstract Entities,Circumambulate her charm; But our lot crawls between,dry ribs To keep our metaphysics warm.,gutenberg
228,"Look, look, master,",here comes two religious,caterpillars.,gutenberg
229,The,Jew of,Malta.,gutenberg
230,Polyphiloprogenitive,The sapient sutlers of the Lord,Drift across the window-panes.,gutenberg
231,In the,beginning was,the Word.,gutenberg
232,In the,beginning,was the Word.,gutenberg
233,A painter of the Umbrian,school Designed upon a gesso ground The nimbus,of the Baptized God.,gutenberg
234,The wilderness is cracked and browned But through the,water pale and thin Still shine the unoffending feet And there above,the painter set The Father and the Paraclete.,gutenberg
235,Under the penitential gates,Sustained by staring Seraphim Where the souls of the devout,Burn invisible and dim.,gutenberg
236,Along the garden-wall the bees With hairy,"bellies pass between The staminate and pistilate,",Blest office of the epicene.,gutenberg
237,Sweeney shifts from ham,to ham Stirring the water,in his bath.,gutenberg
238,The masters of,"the subtle schools Are controversial,",polymath.,gutenberg
239,[Greek text inserted here] Apeneck Sweeney spreads his knees,"Letting his arms hang down to laugh, The zebra stripes along",his jaw Swelling to maculate giraffe.,gutenberg
240,"Oh, do","not ask, ""What",is it?,gutenberg
241,""" Let us",go and make our,visit.,gutenberg
242,In the room the women,come and go Talking of,Michelangelo.,gutenberg
243,In the room the women,come and go Talking of,Michelangelo.,gutenberg
244,And indeed there,"will be time To wonder,","""Do I dare?",gutenberg
245,""" Time to turn back and descend the stair,",With a bald spot in the middle of my hair--,"(They will say: ""How his hair is growing thin!",gutenberg
246,""") My morning coat, my collar mounting firmly","to the chin, My necktie rich and modest, but asserted by a simple","pin-- (They will say: ""But how his arms and legs are thin!",gutenberg
247,""") Do I dare",Disturb the,universe?,gutenberg
248,In a minute there is,time For decisions and revisions,which a minute will reverse.,gutenberg
249,So how,should I,presume?,gutenberg
250,And,how should I,presume?,gutenberg
251,"And I have known the arms already, known",them all-- Arms that are braceleted and white and bare,"(But in the lamplight, downed with light brown hair!",gutenberg
252,) Is it perfume,from a dress That makes me,so digress?,gutenberg
253,Arms that lie along,"a table, or wrap",about a shawl.,gutenberg
254,And,should I then,presume?,gutenberg
255,And how should,I,begin?,gutenberg
256,"Shall I say, I have gone at dusk through narrow",streets And watched the smoke that rises from the pipes Of lonely,"men in shirt-sleeves, leaning out of windows?",gutenberg
257,I should have been a pair,of ragged claws Scuttling across,the floors of silent seas.,gutenberg
258,And the,"afternoon, the evening,",sleeps so peacefully!,gutenberg
259,Smoothed by long,"fingers,",Asleep.,gutenberg
260,or,it,malingers.,gutenberg
261,Stretched on the,"floor, here beside",you and me.,gutenberg
262,"Should I, after tea and","cakes and ices, Have the strength to force the",moment to its crisis?,gutenberg
263,-- It is impossible,to say just what,I mean!,gutenberg
264,,I grow old.,,gutenberg
265,I,grow,old.,gutenberg
266,I shall wear,the bottoms of my,trousers rolled.,gutenberg
267,Shall I,part my,hair behind?,gutenberg
268,Do I,dare to eat,a peach?,gutenberg
269,I shall wear white flannel,"trousers, and walk upon",the beach.,gutenberg
270,I have heard,"the mermaids singing,",each to each.,gutenberg
271,I do,not think that they will sing,to me.,gutenberg
272,I have seen them riding seaward on,the waves Combing the white hair of the waves blown back,When the wind blows the water white and black.,gutenberg
273,We have lingered in the chambers of,the sea By sea-girls wreathed with seaweed red and brown Till,"human voices wake us, and we drown.",gutenberg
274,Thou hast committed-- Fornication:,"but that was in another country And besides,",the wench is dead.,gutenberg
275,The,Jew of,Malta.,gutenberg
276,"We have been, let us say,","to hear the latest Pole Transmit the Preludes,",through his hair and finger-tips.,gutenberg
277,"""So intimate, this Chopin, that I think his soul Should","be resurrected only among friends Some two or three, who will not touch the",bloom That is rubbed and questioned in the concert room.,gutenberg
278,""" --And so the conversation slips Among velleities",and carefully caught regrets Through attenuated tones of,violins Mingled with remote cornets And begins.,gutenberg
279,How keen,you,are!,gutenberg
280,) To find a friend who has these,"qualities, Who has, and gives Those",qualities upon which friendship lives.,gutenberg
281,How much it means that,I say this to you-- Without,"these friendships--life, what cauchemar!",gutenberg
282,""" --Let us take the air, in a tobacco","trance, Admire the monuments Discuss the late events,",Correct our watches by the public clocks.,gutenberg
283,Then sit for half,an hour and,drink our bocks.,gutenberg
284,II Now that lilacs are in bloom She,has a bowl of lilacs in her room And twists,one in her fingers while she talks.,gutenberg
285,""" I smile,","of course, And go on drinking",tea.,gutenberg
286,"""Yet with these April sunsets, that somehow recall My","buried life, and Paris in the Spring, I feel immeasurably at peace, and","find the world To be wonderful and youthful, after all.",gutenberg
287,"You are invulnerable,",you have no Achilles',heel.,gutenberg
288,"You will go on, and when you",have prevailed You can say: at this point,many a one has failed.,gutenberg
289,"But what have I, but","what have I, my friend, To give you,",what can you receive from me?,gutenberg
290,Only the friendship,and the sympathy Of one about to,reach her journey's end.,gutenberg
291,I shall sit,"here, serving",tea to friends.,gutenberg
292,""" I take my hat: how can",I make a cowardly amends,For what she has said to me?,gutenberg
293,You will see me any,morning in the park Reading the comics,and the sporting page.,gutenberg
294,Particularly I,remark An English countess,goes upon the stage.,gutenberg
295,A Greek was murdered,"at a Polish dance, Another",bank defaulter has confessed.,gutenberg
296,Are these,ideas right,or wrong?,gutenberg
297,"""And so you are",going abroad; and when,do you return?,gutenberg
298,But that's,a useless,question.,gutenberg
299,You hardly know when,"you are coming back, You will",find so much to learn.,gutenberg
300,""" My smile falls",heavily among,the bric-à-brac.,gutenberg
301,"""Perhaps",you can write,to me.,gutenberg
302,""" My self-possession flares up for",a second; This is as,I had reckoned.,gutenberg
303,"""I have been wondering",frequently of late (But our beginnings,never know our ends!,gutenberg
304,) Why we,have not developed into,friends.,gutenberg
305,""" I feel like one who smiles, and","turning shall remark Suddenly, his",expression in a glass.,gutenberg
306,My self-possession gutters;,we are really,in the dark.,gutenberg
307,"""For everybody said","so, all our friends, They all were sure our",feelings would relate So closely!,gutenberg
308,I myself,can hardly,understand.,gutenberg
309,We must,leave it now,to fate.,gutenberg
310,You will,"write, at any",rate.,gutenberg
311,Perhaps,it is not,too late.,gutenberg
312,I shall,"sit here, serving",tea to friends.,gutenberg
313,""" And I must borrow",every changing shape,To find expression.,gutenberg
314,"dance, dance Like a dancing","bear, Cry like a parrot, chatter",like an ape.,gutenberg
315,Let us take the,"air, in a tobacco",trance-- Well!,gutenberg
316,Would she not,"have the advantage,",after all?,gutenberg
317,This music is successful with,"a ""dying fall"" Now that we talk of dying--",And should I have the right to smile?,gutenberg
318,I The winter evening,settles down With smell of steaks,in passageways.,gutenberg
319,The burnt-out,ends of smoky,days.,gutenberg
320,And then the,lighting of,the lamps.,gutenberg
321,II The morning comes to consciousness,Of faint stale smells of beer From the sawdust-trampled street With all its,muddy feet that press To early coffee-stands.,gutenberg
322,With the other masquerades That time,"resumes, One thinks of all the hands That are raising",dingy shades In a thousand furnished rooms.,gutenberg
323,I am moved by fancies that are curled,"Around these images, and cling: The notion of some infinitely",gentle Infinitely suffering thing.,gutenberg
324,"Wipe your hand across your mouth, and laugh;",The worlds revolve like ancient women,Gathering fuel in vacant lots.,gutenberg
325,"Half-past one, The street lamp sputtered, The street lamp muttered,","The street lamp said, ""Regard that woman Who hesitates toward you in",the light of the door Which opens on her like a grin.,gutenberg
326,You see the border of her dress,"Is torn and stained with sand, And you see the corner",of her eye Twists like a crooked pin.,gutenberg
327,A broken spring in a factory,"yard, Rust that clings to the form that the strength has",left Hard and curled and ready to snap.,gutenberg
328,"Half-past two, The street-lamp said, ""Remark the cat which","flattens itself in the gutter, Slips out its tongue And",devours a morsel of rancid butter.,gutenberg
