,0,1,2,source
186,overcast day,the lamp posts,filled with snow,sballas
187,condolences,i choose the card,without words,sballas
188,yet another bug,buzzes the zapper,whiskey moon,sballas
189,morning fog,the distance,between boat and shore,sballas
190,drizzly field,the rattle of a tractor,wades in the fog,sballas
191,cutting,the last rose stem . . .,woodsmoke,sballas
192,purple lightning,irises,in bloom,sballas
193,the fat cat,sits halfway home,squash blossoms,sballas
194,pine slabs,dovetailing together,carpenter's hands,sballas
195,switchback . . .,alpine aster,all in bloom,sballas
196,cold snap,the sharp bite,of a radish,sballas
197,sparsh-swars,from the sitar . . .,jasmine breeze,sballas
198,flea market . . .,a monkey's paw,under glass,sballas
199,stormlight,the magnolia,bursts into flower,sballas
200,alone at dusk,waiting for the company,of fireflies,sballas
201,spring rain,the lips and throat,of the iris,sballas
202,lingering,in my sleeping bag,campfire smoke,sballas
203,autumn weeds . . .,the orb spinner's,warp and weft,sballas
204,unfolding,a field map of summer . . .,butterfly,sballas
205,pushing her lips together,to form the sound?,frogs,sballas
206,afternoon stillness?,my neighbor's chimes,announce the breeze,sballas
207,night rain,the fainter sound,of the ocean,sballas
208,hazy sunset,the weight,of a ripe peach,sballas
209,first crush . . .,apple branches,nearly touching,sballas
210,butterfly house,we're all,six again,sballas
211,open atlas,the continental drift,of clouds,sballas
212,lightning-split oak?,what would i be,in another time?,sballas
213,left-over snow,in the juniper's shadow,an old suet cage,sballas
214,white sky,a cloud of blackbirds,erupts from an oak,sballas
215,milky way . . .,the way the cow path,rings a hill,sballas
216,the arch,of her foot . . .,feather shedding moon,sballas
217,record heat?,a song thrush beats,against the tomato cage,sballas
218,short-cut home,weaving my shadow,through storm-toppled trees,sballas
219,humming fridge?,the quiet thoughts,of a robot,sballas
220,easter morning,a rapture of hawks squalls,beyond the scud,sballas
221,monsoon,grackle stepping,through raindrops,sballas
222,apologies?,cutting the bruise,from the apple,sballas
223,icy wind,a shiver,in the blackbird's song,sballas
224,halloween,witches on brooms,come up the escalator,sballas
225,woodland,the silence,of history,sballas
226,weeping willow,her golden hair,once blew that way,sballas
227,autumn winds,campaign signs,shifting positions,sballas
228,his oil paintings,so unlike mine?,passion fruit,sballas
229,swaths of grass,curl across the yard . . .,first snowman,sballas
230,sleet,the wind-chime's,unfamiliar tune,sballas
231,50 years slip away,lacing up,old skates,sballas
232,medieval city,a construction crane,touches the sky,sballas
233,new home,another child's handprints,in the driveway,sballas
234,branch by branch,a squirrel climbs,the oak's shadow,sballas
235,outdoor artist,the color of the dog,beside him,sballas
236,morning frost,lifting white socks higher,the neighbour's cat,sballas
237,summer dusk,the sound of high heels,from the backyard,sballas
238,december dusk,i will never visit,my grandparents' birthplace,sballas
239,sunrise,performing what i imagine,tai chi to be,sballas
240,not getting the whole story?,this ladybug,on my page,sballas
241,carrying on,as if nothing had happened,dogwood in bloom,sballas
242,morning frost,invitation to a white,wedding,sballas
243,hot afternoon,the shoe seller kicks a butt,into the canal,sballas
244,pebbled beach,no sound skips,into the new year,sballas
245,starry night,pills snug,in their bottle,sballas
246,twilight?,the scent of clover,in her hair,sballas
247,mountain overlook?,we speak,in whispers,sballas
248,tall ships,the rifted sky,closes . . . opens,sballas
249,in the shade,of a towering oak,acorns dropping,sballas
250,a grackle not as black,as the memory of,grackles,sballas
251,a river of corn lilies,divides the meadow,yellow butterfly,sballas
252,high tide,the taste of salt,on your lips,sballas
253,under the voices,of summer birds,raven,sballas
254,muggy sunrise,the brown spider crawling,up the web,sballas
255,green shoots,in the cherry tree's shade,last year's cherries,sballas
256,on ash wednesday again,my grandmother's lilac perfume,,sballas
257,midsummer quiet,the cascading shades,of mountain ridges,sballas
258,a gap,in the leaf shadows,summer moon,sballas
259,one tree without buds,last year's,empty nest,sballas
260,crescent moon,my old knees,creak up the stairs,sballas
261,another,dead camera battery,fading peonies,sballas
262,his urn finally arrives,a careful breeze in the palms,,sballas
263,morning heat,a swallowtail drifts,into the blue,sballas
264,cherry bush,drooping with fruit,sparrows and finches,sballas
265,one vanilla scoop,moon rising over the,brooklyn bridge,sballas
266,winter slump?,wearing out the fabric,of my easy chair,sballas
267,framed,in the kitchen window,venus rising,sballas
268,easter incense,the prayers i never learned,in latin,sballas
269,shoveling snow . . .,a wind gust halos,the street light,sballas
270,one white sail,on the horizon,silence between waves,sballas
271,tracing the fades,of the spring river,the wagtail's tail,sballas
272,sundown,the slap,of a beaver's tail,sballas
273,clouds racing,a sundog,disappears,sballas
274,iris garden,the sisters pose,in purple dresses,sballas
275,hangover . . .,an empty beercan,fills with rain,sballas
276,in the bird's nest,my lost bracelet,,sballas
277,bus stop,the conversation takes,a strange turn,sballas
278,the fireworks,the constellations,summer heat,sballas
279,the weight,of late sunlight,peach boughs,sballas
280,father's day,picking up,the same broken shells,sballas
281,power failure,watching the moon,instead of tv,sballas
282,outside goodwill,a new pair of old jeans,and the blue sky,sballas
283,balancing,on a blade of grass,nightfall,sballas
284,january . . .,cat turns on,the electric blanket,sballas
285,evening fog,the crack of a home run,from the ball park,sballas
286,main street,a sign points the way,to the cemetery,sballas
287,chipped nail polish,the red,of a leaf falling,sballas
288,half-empty bottle,whiskey trembles,at a touch,sballas
289,fireworks,home from the war,my uncle flinches,sballas
290,autumn damp?,old leaves composting,in the back lot,sballas
291,empty bleachers,a sparrow takes a dust bath,behind home plate,sballas
292,walking in flip-flops,on top of the leaves,indian summer,sballas
293,rainy day,the street musician's,empty tip box,sballas
294,poverty,no matter where you go,the moon,sballas
295,no exit sign,the door scuffed,with boot marks,sballas
296,silhouetted trees,against a hazy moon?,end of vacation,sballas
297,full moon,lemon slice floating,in my teacup,sballas
298,black elder,shakes its shadow loose,early snowfall,sballas
299,snow melt?,a puddle,of lost mittens,sballas
300,west coast sky?,the cat dreams,of catching eagles,sballas
301,beachside,after iced tea,"his cold, cold kiss",sballas
302,manhattan,bus doors clossse,with a hisss,sballas
303,doctor's rounds,a frantic search,for her good teeth,sballas
304,on the railing,a leaf hopper studies,my pen,sballas
305,wading,out into the creek,water lilies,sballas
306,grandma's coffee table,the yellow green orange,of old jelly beans,sballas
307,dawn chorus,the sky surrendering,its indigo,sballas
308,through a slice,in the sunset sky,new moon,sballas
309,chinook's in,melting snowman,loses face,sballas
310,tree-shimmering pond,the jazzband wavers,through birdland,sballas
311,veterans day,removing his prosthetic arm,at the airport,sballas
312,old camp road?,plumes of dust eddy,in the heat,sballas
313,snowflake,the moment before it melts,his smile,sballas
314,driving under over red gold trees,rain slicked roads,,sballas
315,knee deep snow,hiking all the way,to the mailbox,sballas
316,strolling policeman,even the spider hides,behind the bench,sballas
317,back from war,the soldier cleans,his room,sballas
318,day moon,the call of a goose,from the south bank,sballas
319,twilight lake,a solitary loon dives,into itself,sballas
320,alight,bend pivot shudder flutter,bye,sballas
321,open air stage,in the moon's spotlight,a dancing moth,sballas
322,small town,idling at the red light,horse & buggy,sballas
323,winter beach,two herring gulls dip,into sunrise,sballas
324,river sunset,above my head a circle,of buzzards,sballas
325,new self-knowledge,a sinkhole to the right,of the path,sballas
326,inuksuk,first??????one,then??????????many,sballas
327,outdoor theatre,watching the crow,watching the play,sballas
328,midnight thunder,zigzag lines cross the sky . . .,the crack in my mirror,sballas
329,blending,with ice fog . . .,my breath,sballas
330,the wind through,wild plum blossoms,deeper breath,sballas
331,"ice cream, basketball",'subway not fast enough,for one-day weekends,sballas
332,time enough to read,this,one second added,sballas
333,shape of the afternoon,a dog shakes,its checkered coat,sballas
334,snow angel,the shadow,of a raven's wing,sballas
335,january thaw?,we are speaking,again,sballas
336,winter ball...,instead of her hand,i kiss her mitten,sballas
337,hunger moon,even my dreams,empty,sballas
338,the,smell,of snow,sballas
339,four cell phones in a row,and one notebook: foreigner,,sballas
340,not yet winter?,the ptarmigan,already white,sballas
341,summer apples dangle,"up, down, side to side?",life before the fall,sballas
342,dream,of a lost moon,snow light,sballas
343,"she checks short dress,",long hair in the window:,backhoe driver concentrates,sballas
344,tails of two balloons?,all they take,with them,sballas
345,city lights...,the distance,between us,sballas
346,picking sea holly,the sky,just as blue,sballas
347,weather girl?,the low front rolling in,matches her outfit,sballas
348,spring day...,flowers,i've never seen,sballas
349,december sky?,a jay's voice,shrill blue,sballas
350,only thing blacker,than raven's wings: eyes dark,enough to steal the sun,sballas
351,old rosary,the diary,of her hands,sballas
352,going the wrong way,down the street,a mockingbird,sballas
353,losing track of place,on patchwork quilt,despite dropped crumbs,sballas
354,[insert perceptive,seventeen syllable verse,without humor here],sballas
355,a small hand,reaches for the stars,moon bounce,sballas
356,valentine morning,time to release,the lovebirds,sballas
357,in an old diary,between pages?,withered rose,sballas
358,hospice visit,the daffodil stems,in a clear vase,sballas
359,squirrel's delicate,turning of acorn,i almost kiss you,sballas
360,waning moon?,"on her mourning dress,",a white pacifier,sballas
361,the wet kleenex snow,blob on the sidewalk holds her,entire small handprint,sballas
362,still sky,"no birds, no breeze",morning after the war,sballas
363,daylilies . . .,my son's face,freckled orange,sballas
364,sudden rainstorm,the dog shakes off,each drop,sballas
365,white kimono,often confused,with nine hundred count percale,sballas
366,earthquake alarm...,trees raise their hands,towards the sky,sballas
367,"cubical snug, plays","solitaire, eats like you would",load a pellet gun,sballas
368,rocking chair,sits in the attic,counting years,sballas
369,deep shadows,i play hide and seek,with the sun,sballas
370,pipe leaking,a way to get to know,new neighbors,sballas
371,watching a sunset,in black and white,the color-blind man,sballas
372,first dew touch?,"shyly, the lily unfolds",her petals,sballas
373,she's plucking eyebrows,from the wall mirror like an,escher drawn escher,sballas
374,spring breeze,smell of flowers and,starch,sballas
375,this longest night?,knitting the baby's blanket,into socks,sballas
376,bottoms in the air,a line,of missing ducks,sballas
377,half moon?,dog's bark above,the factory noise,sballas
378,what wind finds you here,"begging shadows, coins tapping",songs for an alley,sballas
379,growing sideways,in the deep forest?,a single birch,sballas
380,"skeletons of the aspen,",snowflakes dance,the winter away.,sballas
381,sipping green tea,from a styrofoam cup...,stomach in knots,sballas
382,"the blue-eyed cat, gone",was it coyotes,or that flock of big ravens?,sballas
383,freeing the ego,doesn't mean abandoning,your love of peaches,sballas
384,clank of iron?,two butterflies ascend,in their mating dance,sballas
385,black cars drive themselves,"suits, wind flutters pages, me",buried in my clothes,sballas
386,"curls of smoke,",rise from my coffeepot.,the soft patter of rain.,sballas
387,drifting,with the snow,a plastic bag,sballas
388,a silver scimitar,new moon slices,night blue sky,sballas
389,"rabbits at market,",their furs pulled off like mittens?,"shiny, newborn limbs.",sballas
390,little windfall apples?,cartoon cherry bombs,that went pffft,sballas
391,frost on morning glass,"winter's gentle face, voices",whisper through windows,sballas
392,on both sides,of the cemetery fence,wild flowers,sballas
393,"and there lies the ocean,","so grey and deep,",a bobbing yacht.,sballas
394,i fill the feeder,chickadee sings,we are grateful,sballas
395,the dust of two towers,is slowly obscured by smoke,from a thousand towns.,sballas
396,prickly pear?,"hidden in golden grass,",still green and holding,sballas
397,a sunflower field,millions of tiny faces,smiling in daylight,sballas
398,"a soft whisper of breeze,","dandelions gently sway,",fleeting time,sballas
399,small bird,on a cattail,not singing,sballas
400,night walk full moon,steel rails gleam,to vanishing point,sballas
401,"over the hayfields,","a barn owl floats, searching.","ok, i'll listen too.",sballas
402,between the trees,swoop of coloured wing and feather,and hammock song of summer,sballas
403,his face,next to mine?,whiskers,sballas
404,purple scented air,hovering over the lilacs,transient moment,sballas
405,"dear c.,?i think i",needed your strength???to get here,sorry i can't stay,sballas
406,goodbye hug,the blue of the,forget me nots,sballas
407,clay on the wheel,deep breath,reaching for the centre,sballas
408,budding romance...,between them on the porch swing,a just opening rose,sballas
409,an hour's walk,and getting nowhere?,the treadmill,sballas
410,skin against my palm,you trace translucent road maps,"read, cartographer",sballas
411,",your flesh a fever",limning me??in this way,i??lay hold upon??i,sballas
412,he shows me his tattoo?,the tree shadow,on the sidewalk,sballas
413,strong breeze,clouds sweep by,the top of the tree,sballas
414,curling up,when problems arise,armadillo,sballas
415,spring recital?,mozart on the piano keys,bird warbles at the window,sballas
416,left in the closet,"an umbrella, forgotten",rain cloud emptying,sballas
417,the sweat dripping drip-,ping into your eyes like tears,for all my efforts,sballas
418,sleeping in?,his side of the bed,still warm,sballas
419,roots of the dead spruce,reach out bony fingers,secret life exposed,sballas
420,spring break,crocus pokes its head,through the melting of march,sballas
421,radiant heater,a cat by the window,purrs,sballas
422,echoes of sunset,your upturned face a canvas?,splashed watercolor,sballas
423,exchange,of wedding vows?,the incoming tide,sballas
424,from tree-shadow to,"lighted pools, startled koi: paint-",brush lines on water.,sballas
425,we will miss you -,"farewell, mr. vonnegut.",i laughed; wept,sballas
426,bowl of tomatoes,first hint of ripening,early dawn glow,sballas
427,glasses on table -,"grandpa passed in june,",only two months away,sballas
428,smile amphibian,servile fly crowning frog prince,order among thieves,sballas
429,plane ticket to france,"like a ""fuck thou"" ode to you",if i had the balls,sballas
430,coarse white pubic hair,sign of fleeting time old age,now at the ready,sballas
431,bursts over belt loops,designer brand across her ass,"""guess"" what?... your weight?",sballas
432,"to touch, be touched",is everything worth wanting,"yes, there and yes, that",sballas
433,"mountains, but not stone?",white sculptures too pure for hands.,i break like a wave.,sballas
434,a photo is all,we have of our rendezvous,between here and there.,sballas
435,snow on the ground,streetlamps are on,at four o'clock,sballas
436,"still, white cityscape",belies fury of last night's,edmonton blizzard,sballas
437,luminescent lures,draw them close to its dark mouth,the nightclub swallows,sballas
438,lightning eyes flashing,and your face darkens and clouds,thunder comes after,sballas
439,"quick steps on hard wood,","a racing heart / shadow hips,",scream of passing skin.,sballas
440,winter is a birth,of lofty expectations,for the next season.,sballas
441,elton john sings,a texas love song as,first snow falls,sballas
442,"time flows freely, like","water in a river, no",dam can hold it back,sballas
443,dusk rain surrenders,bright clouds bleed a war-red,kurosawa sky,sballas
444,graying sky soaring;,a roof above the heads of,mortal creatures beneath,sballas
445,in the hour of foxes,shadows slip and slink around,edges of perception,sballas
446,flesh gnaws at its chains.,tainted souls dance in rubble /,echoes murmur in the skin.,sballas
447,familiar photos on the wall,remind me of who i am,but who the fuck are they?,sballas
448,iridescence,painting colour in the moist air,clouds weeping prisms,sballas
449,fall's blaze of folly,deposits rich red blood cells,on winter's bare bones,sballas
450,freshly shaved legs,and washed my sheets today,going to bed bliss,sballas
451,the smell of wet earth,streetlight halos in the rain;,yukatta raincoat,sballas
452,no washrooms anywhere;,crouching behind a tree,i can hear everything now,sballas
453,drowning in whiskey -,she left again,and keeps leaving,sballas
454,burned trees among,the fading living:,reminder,sballas
455,coffee with buddha,i talk about my worries,his dick-ass smile.,sballas
456,broken umbrellas,young women's hats-flattened,cormorant weather,sballas
457,corner store:,spider's built a web,across the butterfly nets,sballas
458,crescent moon?,"still, i turn my gaze back",to the muddied path,sballas
459,"good night, fair city",your belly button sex drive,makes me fucking sick,sballas
460,trying to tune in,a song of the soul but my,reception is bad,sballas
461,not willing to leave,"this imperfect nest, this bird",has so much to learn.,sballas
462,sleep-colored,tires on asphalt,,sballas
463,water into wine,every time you look at me,my girl parts get drunk,sballas
464,starlings gossip,amused at our lovemaking,the quivering limbs,sballas
465,winter chill-,"around the windy corner,",surprise! full moon.,sballas
466,midnight:,bats are diving,"""it's hot,"" she says",sballas
467,whiskey and cigars,perfect companions for this,mountainous refuge,sballas
468,a thousand lonely writers,- the bookstore is empty,,sballas
469,spring football players,"pop and hustle, grunting.",yearless. fatter.,sballas
470,alone tonight-,how blue,the moonlit iris,sballas
471,the clouds open up,"a halo of rain, downpour","your lips, glistening",sballas
472,luggage gone astray,'welcome home' from purring cat,the best elixir,sballas
473,curvaceous woman,vibrates at the edge of you,"a dark, sultry lie",sballas
474,fading oil worker,"bedded now, and filled with tar",counting his regrets,sballas
475,rain: red cobblestone puddles,twitching into circles,,sballas
476,meditation class,he begins by contemplating,the blonde's navel,sballas
477,"paul mccartney,",a conspiracy theory:,he's really a douche,sballas
478,me and my best friend,smoke rollies behind garage,think our moms won't know,sballas
479,shopaholics wet,leather jackets protect well,river ice creaks loud,sballas
484,disused bridge,mist flows,over the river,sballas
485,driving home -,the rainbow,arrives there before me,sballas
486,changing our sheets -,cherry blossom,drifts to the floor,sballas
487,camping ground -,the cries,of other people's children,sballas
488,leaving your home -,kowhai flowers,flick off my windscreen,sballas
489,there???????not there,the spider's thread,catches sunlight,sballas
490,round and,round and round -,the moon,sballas
491,lamplight -,a moth zigzags,between stars,sballas
492,benefit cuts,her letter to santa,goes unanswered,sballas
493,spring moon,she re-threads my dead,nana's pearls,sballas
494,where soldiers,once slept and died -,a spider's home,sballas
495,replying to his letter,the paper cold,against my hand,sballas
496,west coast holiday,a ponga frond,unwinding,sballas
497,old pines,each one leans,apart,sballas
498,walking over pebbles,her pocket,grows heavy,sballas
499,sunday morning,a dog sniffs the base,of the goal-post,sballas
500,on a diet,she devours,recipe books,sballas
501,green light -,a small spider darts,across the windscreen,sballas
502,piercing cold -,a kea calls,through the mist,sballas
503,children's voices,the ducks,swim closer,sballas
504,visiting my ex -,the dog licks,my face,sballas
505,gusty wind,barley heads sweep,in a mexican wave,sballas
506,first white butterfly,my cabbages,not yet planted,sballas
507,moonlight,the stream flows from shadow,to shadow,sballas
508,road to the beach,wave after wave of blue,hydrangeas,sballas
509,silver frost,a pigeon wing tilts,to the rising sun,sballas
510,jagged mountains,a harrier hawk,hangs in the air,sballas
511,off-street parking,cabbage tree fragrance,fills the spaces,sballas
512,frost shimmers,the distant mountains,so close,sballas
513,last sun,the footprints over the dunes,filled with shadow,sballas
514,morning shallows,the wading birds,all conjoint,sballas
515,low tide -,i walk to you,across the sky,sballas
516,all this way,in your letter,that cigarette smell,sballas
517,checking the map,the road disappears,into a fold,sballas
518,weather forecast,searching the sky,for an isobar,sballas
519,autumn morning,clearing the misty window,to see the mist,sballas
520,lemon blossom,accidentally picked,perfumes the whole room,sballas
521,grandson's visit,we compare notes,on his parents,sballas
522,fish and chips night,first home,the smell,sballas
523,emptying the mousetrap,the tiny drop,of blood,sballas
524,gravestone,underneath the weeds,we will not forget,sballas
525,in the dark part,of her wardrobe -,"a snout, eyes",sballas
526,summer rain -,finding chocolate frogs,at the back of the shop,sballas
527,record heat -,a song thrush beats,against the tomato cage,sballas
528,each streetlight,with its own rain -,clock of mah-jong tiles,sballas
529,slicing papaya,the swing,of her black pearls,sballas
530,first dance -,the moon,in her hair,sballas
531,waitangi -,the parson bird,sings a different song,sballas
532,family photo box,how my father smiles,in black and white,sballas
533,raindrops,and the sound,of a shoe being unlaced,sballas
