,0,1,2,haiku,lang
79,horloge sans aiguilles,sur ta fenêtre abandonnée,la lune,"horloge sans aiguilles
sur ta fenêtre abandonnée
la lune",fr
80,Maison abandonnée,de la fenêtre cassée,la lune sort,"Maison abandonnée
de la fenêtre cassée
la lune sort",fr
81,les lampes éteintes,sur la vitrine d'armes,la lune ,"les lampes éteintes
sur la vitrine d'armes
la lune ",fr
82,Deux ailes d'oiseau,ton rouge à lèvres,sur l'harmonica ,"Deux ailes d'oiseau
ton rouge à lèvres
sur l'harmonica ",fr
83,De ma main blessée,Je rouvre ,Tes anciennes lettres. ,"De ma main blessée
Je rouvre 
Tes anciennes lettres. ",fr
84,Saint Valentin ,écoulement de la pluie ,sur la porte du cimetière ,"Saint Valentin 
écoulement de la pluie 
sur la porte du cimetière ",fr
85,du puits,dans un seau j'attrape,une lune,"du puits
dans un seau j'attrape
une lune",fr
86,Out of the well,By the bucket ,I hunt A moon,"Out of the well
By the bucket 
I hunt A moon",en
87,(panneau Ceinture de sécurité,tout ce qui reste,sur le pont dévasté) ,"(panneau Ceinture de sécurité
tout ce qui reste
sur le pont dévasté) ",fr
88,Commençant avec une fleur,Et se terminant avec une fleur,Les limites de mon village,"Commençant avec une fleur
Et se terminant avec une fleur
Les limites de mon village",fr
89,Gâteau rond,la lune ,sur ta fenêtre,"Gâteau rond
la lune 
sur ta fenêtre",fr
90,Après le bombardement ,Même le mort,quitte sa tombe ,"Après le bombardement 
Même le mort
quitte sa tombe ",fr
91,Oooh!,la neige a volé du voleur,les traces de ses pieds ,"Oooh!
la neige a volé du voleur
les traces de ses pieds ",fr
92,Éclair -,ton visage,dans l'obscurité ,"Éclair -
ton visage
dans l'obscurité ",fr
93,Retour à la maison,l'ombre de la clé est devant moi,pour ouvrir la porte ,"Retour à la maison
l'ombre de la clé est devant moi
pour ouvrir la porte ",fr
94,Dans la poussière diffusée,derrière le corbillard,l'odeur de la mort ,"Dans la poussière diffusée
derrière le corbillard
l'odeur de la mort ",fr
95,Maison des grands-parents,souvenir d'enfance,Dans la voix de la pluie ,"Maison des grands-parents
souvenir d'enfance
Dans la voix de la pluie ",fr
96,Mes doigts,entre ses doigts,Piano ,"Mes doigts
entre ses doigts
Piano ",ca
97,Quelle rapidité,Sous la montre arrêtée de ma mère,Des battements de mon cœur ,"Quelle rapidité
Sous la montre arrêtée de ma mère
Des battements de mon cœur ",fr
98,La ville assiégée,la lune,entre et sort ,"La ville assiégée
la lune
entre et sort ",fr
99,La fourmi,parle à une autre,sur le câble du téléphone ,"La fourmi
parle à une autre
sur le câble du téléphone ",fr
100,maison des grand-parents,sur le vieux métier à tisser,des fils de lumière ,"maison des grand-parents
sur le vieux métier à tisser
des fils de lumière ",fr
101,Portes fermés,devant le mendiant-,Même la porte du cimetière ,"Portes fermés
devant le mendiant-
Même la porte du cimetière ",fr
102,Croissant-,traces des dents de l'enfant,sur le chocolat ,"Croissant-
traces des dents de l'enfant
sur le chocolat ",fr
103,école abandonnée,les noms des amis et leurs cœurs,sont encore sur les bancs ,"école abandonnée
les noms des amis et leurs cœurs
sont encore sur les bancs ",fr
104,Bague de mariage,Convient également pour dessiner,Une lune dans la neige ,"Bague de mariage
Convient également pour dessiner
Une lune dans la neige ",fr
105,Tombe du mendiant,Sa part des visiteurs,leurs ombres ,"Tombe du mendiant
Sa part des visiteurs
leurs ombres ",fr
106,Pleins d'épingles,journaux de guerre,dans le magasin de mon voisin ,"Pleins d'épingles
journaux de guerre
dans le magasin de mon voisin ",fr
107,Le village abandonné,la rosée du matin,sur les fleurs du cimetière ,"Le village abandonné
la rosée du matin
sur les fleurs du cimetière ",fr
108,Après la lessive.,Une nouvelle fleur jaune,Dans la robe de ma fille. ,"Après la lessive.
Une nouvelle fleur jaune
Dans la robe de ma fille. ",fr
109,Tantôt rouge tantôt jaune,Sous les feux d'artifice,la main d'un mendiant ,"Tantôt rouge tantôt jaune
Sous les feux d'artifice
la main d'un mendiant ",fr
110,Arrivée du train-,les vêtements flottent,Sur la corde à linge ,"Arrivée du train-
les vêtements flottent
Sur la corde à linge ",fr
111,Retour à la maison,la chaise de ma grand-mère morte,se balance sur la terrasse ,"Retour à la maison
la chaise de ma grand-mère morte
se balance sur la terrasse ",fr
112,Out of the well,By the bucket I hunt,A moon,"Out of the well
By the bucket I hunt
A moon",en
113,hors du puits,dans un seau j'attrape,une lune ,"hors du puits
dans un seau j'attrape
une lune ",fr
114,Décombres-,dans l'œil vide de la poupée,les gouttes de la pluie tombent ,"Décombres-
dans l'œil vide de la poupée
les gouttes de la pluie tombent ",fr
115,Avec le mur détruit,les mots aussi,Se brisent ,"Avec le mur détruit
les mots aussi
Se brisent ",fr
116,Out of the well,By the bucket I hunt,A moon,"Out of the well
By the bucket I hunt
A moon",en
117,hors du puits,dans un seau j'attrape,une lune,"hors du puits
dans un seau j'attrape
une lune",fr
118,maison abandonnée,les gouttes de pluie sont restées,sur les pinces à linge ,"maison abandonnée
les gouttes de pluie sont restées
sur les pinces à linge ",fr
119,Comme à la cérémonie du drapeau,se rangent l'un près l'autre,Les cercueils des enfants. ,"Comme à la cérémonie du drapeau
se rangent l'un près l'autre
Les cercueils des enfants. ",fr
120,Le retour d'Alep,Plus rapides que le bus,Les battements de mon cœur ,"Le retour d'Alep
Plus rapides que le bus
Les battements de mon cœur ",fr
121,Cimetière de mon village,toutes les histoires de guerres,sur les pierres tombales ,"Cimetière de mon village
toutes les histoires de guerres
sur les pierres tombales ",fr
122,La cour de la prison,dans la flaque de la pluie,la lune ,"La cour de la prison
dans la flaque de la pluie
la lune ",fr
123,premières écritures,sur le nouveau mur de l'école,pluie de printemps ,"premières écritures
sur le nouveau mur de l'école
pluie de printemps ",fr
124,Un morceau de charbon brûlé,il paraît dans l'obscurité,le navire des émigrés ,"Un morceau de charbon brûlé
il paraît dans l'obscurité
le navire des émigrés ",fr
125,Jardins d' Alep,même toi escargot,cherche le printemps ,"Jardins d' Alep
même toi escargot
cherche le printemps ",fr
126,ablation du sein,entre la vie et la mort,le tatouage du papillon ,"ablation du sein
entre la vie et la mort
le tatouage du papillon ",fr
127,ablation du sein,entre la vie et la mort,le tatouage du papillon ,"ablation du sein
entre la vie et la mort
le tatouage du papillon ",fr
128,Matin d'automne,de ma poitrine,le brouillard sort ,"Matin d'automne
de ma poitrine
le brouillard sort ",fr
129,balançoire à la lune,son soutien,Sur la corde à linge ,"balançoire à la lune
son soutien
Sur la corde à linge ",fr
130,Après le bombardement,ombre du château,sur les restes du mur ,"Après le bombardement
ombre du château
sur les restes du mur ",fr
131,La voix du bombardement se lève-,du haut de la cascade,la lune tombe ,"La voix du bombardement se lève-
du haut de la cascade
la lune tombe ",fr
132,comme des boîtes aux mouchoirs,les tentes des émigrés se pressent,sous la neige ,"comme des boîtes aux mouchoirs
les tentes des émigrés se pressent
sous la neige ",fr
133,Tempête de sable,le corbillard,couvert de poussière ,"Tempête de sable
le corbillard
couvert de poussière ",fr
134,Naissance de jumeaux,le premier mort,l'autre ne cesse pas de pleurer ,"Naissance de jumeaux
le premier mort
l'autre ne cesse pas de pleurer ",fr
135,Maison abandonnée,d'une fenêtre à l'autre,la lune se déplace ,"Maison abandonnée
d'une fenêtre à l'autre
la lune se déplace ",fr
136,Les jardins d'Alep en 2016,même l'escargot,a laissé sa coquille et s'est enfui ,"Les jardins d'Alep en 2016
même l'escargot
a laissé sa coquille et s'est enfui ",fr
137,place du village,le temps du bombardement est toujours,sur l'horloge brisée ,"place du village
le temps du bombardement est toujours
sur l'horloge brisée ",fr
138,Village abandonné,au long du chemin de fer,les feuilles d'automne ,"Village abandonné
au long du chemin de fer
les feuilles d'automne ",fr
139,Journaux de guerre,Encore une fois,Mon nom parmi les victimes ,"Journaux de guerre
Encore une fois
Mon nom parmi les victimes ",fr
140,Le village abandonné,de la poignée de la porte,des gouttes de pluie tombent ,"Le village abandonné
de la poignée de la porte
des gouttes de pluie tombent ",fr
141,Après le bombardement,d'une ouverture dans le toit,Je médite à la lune  ,"Après le bombardement
d'une ouverture dans le toit
Je médite à la lune  ",fr
142,En descendant au tombeau,le cercueil de la danseuse,Se balance à droite et à gauche ,"En descendant au tombeau
le cercueil de la danseuse
Se balance à droite et à gauche ",fr
143,Boîte à bijoux de ma grand-mère,Et elle n'a pas vendu,Des lettres d'amour ,"Boîte à bijoux de ma grand-mère
Et elle n'a pas vendu
Des lettres d'amour ",fr
144,derrière la montagne,vers mon village,la lune descend ,"derrière la montagne
vers mon village
la lune descend ",fr
145,souriant,il tond les herbes,le jardinier chauve ,"souriant
il tond les herbes
le jardinier chauve ",fr
146,De la tombe à l'autre,une dernière feuille d'automne,se déplace ,"De la tombe à l'autre
une dernière feuille d'automne
se déplace ",fr
147,après la neige,Comme deux ailes d'une mouette,les tentes des émigrants ,"après la neige
Comme deux ailes d'une mouette
les tentes des émigrants ",fr
148,Piano de la famille,Sa part de la guerre,doigts amputés ,"Piano de la famille
Sa part de la guerre
doigts amputés ",fr
149,Le village abandonné,Le reste de la vie,Dans la voix du coq ,"Le village abandonné
Le reste de la vie
Dans la voix du coq ",fr
150,nude beach,a stranger covers me,with his shadow,"nude beach
a stranger covers me
with his shadow",en
151,plage nudiste,un inconnu me couvre,de son ombre  ,"plage nudiste
un inconnu me couvre
de son ombre  ",fr
152,garden wedding --,under the cherry blossoms,the bride's blush deepens,"garden wedding --
under the cherry blossoms
the bride's blush deepens",en
153,(noce au jardin --,sous les cerisiers en fleurs,le rouge aux joues de la jeune mariée plus profond),"(noce au jardin --
sous les cerisiers en fleurs
le rouge aux joues de la jeune mariée plus profond)",fr
154,rainy New York,from the tenth storey window,black umbrellas bloom,"rainy New York
from the tenth storey window
black umbrellas bloom",en
155,pluie sur New-York,de la fenêtre du dixième,les parapluies noirs en fleur,"pluie sur New-York
de la fenêtre du dixième
les parapluies noirs en fleur",fr
156,drunk on the beach-,the moon in my sake cup,disappears,"drunk on the beach-
the moon in my sake cup
disappears",en
157,ivre sur la plage --,la lune dans ma coupe de sake,disparaît,"ivre sur la plage --
la lune dans ma coupe de sake
disparaît",fr
158,faintly purple,against the moon -,pines in the light,"faintly purple
against the moon -
pines in the light",en
159,à peine pourpres,sous la lune -,les pins dans la lumière,"à peine pourpres
sous la lune -
les pins dans la lumière",fr
160,the last light of day ~,purple rhododendrons,dissolve in the dark,"the last light of day ~
purple rhododendrons
dissolve in the dark",en
161,la dernière lumière du jour ~,les rhododendrons pourpres,se dissolvent dans le noir,"la dernière lumière du jour ~
les rhododendrons pourpres
se dissolvent dans le noir",fr
162,irises,bluer,in hers,"irises
bluer
in hers",de
163,iris,plus bleus,dans les siens,"iris
plus bleus
dans les siens",fr
164,wisteria -,blooming before,the end of rain,"wisteria -
blooming before
the end of rain",en
165,glycine -,en fleur avant,la fin de la pluie,"glycine -
en fleur avant
la fin de la pluie",fr
166,through lace ~,the tracery of frost,on glass,"through lace ~
the tracery of frost
on glass",en
167,au travers de la dentelle -,le tracé du givre,sur la vitre,"au travers de la dentelle -
le tracé du givre
sur la vitre",fr
168,rain,falls from the trees,on the blue iris,"rain
falls from the trees
on the blue iris",en
169,la pluie,tombe des arbres,sur les iris bleus,"la pluie
tombe des arbres
sur les iris bleus",fr
170,winter beach -,three grey lines,"of sand, sea and sky","winter beach -
three grey lines
of sand, sea and sky",en
171,plage en hiver,trois lignes grises,"de sable, de la mer et du ciel","plage en hiver
trois lignes grises
de sable, de la mer et du ciel",fr
172,winter -,white peonies,in falling snow,"winter -
white peonies
in falling snow",en
173,hiver -,des pivoines blanches,dans la neige qui tombe,"hiver -
des pivoines blanches
dans la neige qui tombe",fr
174,fin d'été,dans les bagages,les habits d'automne ,"fin d'été
dans les bagages
les habits d'automne ",fr
175,chaleur écrasante,les girolles,sous la mousse,"chaleur écrasante
les girolles
sous la mousse",fr
176,long illness –,pink dogwood blooming,without me,"long illness –
pink dogwood blooming
without me",en
177,longue maladie –,le cornouiller rose en fleurs,sans moi ,"longue maladie –
le cornouiller rose en fleurs
sans moi ",fr
178,lunch al fresco,leaving out a chair,for the sun ,"lunch al fresco
leaving out a chair
for the sun ",en
179,the attention,his dog gets -,homeless man,"the attention
his dog gets -
homeless man",en
180,l'attention,que son chien reçoit -,Un sans-abri ,"l'attention
que son chien reçoit -
Un sans-abri ",fr
181,remembering a song,from my childhood,plum blossoms,"remembering a song
from my childhood
plum blossoms",en
182,me rappelant un air,de mon enfance,fleurs de prunier ,"me rappelant un air
de mon enfance
fleurs de prunier ",fr
183,father’s pills,the palette of,autumn leaves,"father’s pills
the palette of
autumn leaves",en
184,les pillules du père,la palette des,feuilles d'automne ,"les pillules du père
la palette des
feuilles d'automne ",fr
185,end of summer,our memories,in zip files,"end of summer
our memories
in zip files",en
186,fin de l'été,nos souvenirs,dans des fichiers compressés ,"fin de l'été
nos souvenirs
dans des fichiers compressés ",fr
187,waking up,with freckles & curls,summer break,"waking up
with freckles & curls
summer break",en
188,s'éveiller,avec des taches de rousseur et des boucles,pause estivale ,"s'éveiller
avec des taches de rousseur et des boucles
pause estivale ",fr
189,long night,on my window—a spider,climbing the moon,"long night
on my window—a spider
climbing the moon",en
190,longue nuit,à ma fenêtre — une araignée,grimpe à la lune ,"longue nuit
à ma fenêtre — une araignée
grimpe à la lune ",fr
191,train window,the fingerprints,from past journeys,"train window
the fingerprints
from past journeys",en
192,fenêtre de train,les marques de doigts,des voyages passés ,"fenêtre de train
les marques de doigts
des voyages passés ",fr
193,old love letter,the crinkled edges,of poppy petals,"old love letter
the crinkled edges
of poppy petals",en
194,vieille lettre d’amour,les bords froissés,des pétales de coquelicots ,"vieille lettre d’amour
les bords froissés
des pétales de coquelicots ",fr
195,his scent gone,from every room,winter jasmine,"his scent gone
from every room
winter jasmine",en
196,son odeur partie,de chaque pièce,jasmin d'hiver ,"son odeur partie
de chaque pièce
jasmin d'hiver ",fr
197,overnight snow,his side of the bed,untouched,"overnight snow
his side of the bed
untouched",en
198,(neige de la nuit,son côté du lit,vierge) ,"(neige de la nuit
son côté du lit
vierge) ",fr
199,forest trail,running to the end,of my thoughts,"forest trail
running to the end
of my thoughts",en
200,sentier en forêt,courir jusqu’au bout,de mes pensées ,"sentier en forêt
courir jusqu’au bout
de mes pensées ",fr
201,learning to eat,around bruises,winter apples,"learning to eat
around bruises
winter apples",en
202,apprendre à manger,autour des marques de coups,pommes d’hiver ,"apprendre à manger
autour des marques de coups
pommes d’hiver ",fr
203,winter night ,extending my word ,on scrabble,"winter night 
extending my word 
on scrabble",en
204,nuit d'hiver,j'étends mon mot,au scrabble ,"nuit d'hiver
j'étends mon mot
au scrabble ",fr
205,thumbing through,an old rolodex,winter light,"thumbing through
an old rolodex
winter light",en
206,je feuillète,un vieux rolodex,jour d'hiver ,"je feuillète
un vieux rolodex
jour d'hiver ",fr
207,dandelion field,my voice dissipates,in the wind,"dandelion field
my voice dissipates
in the wind",en
208,champ de pissenlits,ma voix se disperse,dans le vent ,"champ de pissenlits
ma voix se disperse
dans le vent ",fr
209,trailing behind,the other hikers,taste of dust,"trailing behind
the other hikers
taste of dust",en
210,à la traîne,des autres randonneurs,un goût de poussière ,"à la traîne
des autres randonneurs
un goût de poussière ",fr
211,summer break,the sun scatters,my freckles,"summer break
the sun scatters
my freckles",en
212,vacances d'été,le soleil essaime,mes taches de rousseur ,"vacances d'été
le soleil essaime
mes taches de rousseur ",fr
213,summer’s end,in a jar of shells,the smell of salt air,"summer’s end
in a jar of shells
the smell of salt air",en
214,fin de l'été,dans un bocal de coquillages,l'odeur de l'air salin ,"fin de l'été
dans un bocal de coquillages
l'odeur de l'air salin ",fr
215,early morning dew,squeezing the last drop,from my teabag,"early morning dew
squeezing the last drop
from my teabag",en
216,rosée matinale,presser la dernière goutte,de mon sachet de thé ,"rosée matinale
presser la dernière goutte
de mon sachet de thé ",fr
217,spring fever,tree roots cracking,the concrete,"spring fever
tree roots cracking
the concrete",en
218,(fièvre de printemps,les racines de l'arbre crevassent,le beton) ,"(fièvre de printemps
les racines de l'arbre crevassent
le beton) ",fr
219,tourist season,the zen garden,fills up with noise,"tourist season
the zen garden
fills up with noise",en
220,saison des touristes,le jardin zen,rempli de bruits ,"saison des touristes
le jardin zen
rempli de bruits ",fr
221,unknotting,the phone cord,mother’s day,"unknotting
the phone cord
mother’s day",en
222,démêlant,le fil du téléphone,fête des mères ,"démêlant
le fil du téléphone
fête des mères ",fr
223,glowing embers,I start my story,from the end,"glowing embers
I start my story
from the end",en
224,braises rougissantes,je commence mon histoire,par la fin ,"braises rougissantes
je commence mon histoire
par la fin ",fr
225,learning to eat ,around bruises ,winter apples,"learning to eat 
around bruises 
winter apples",en
226,apprendre à manger,autour des meurtrissures,pommes d'hiver ,"apprendre à manger
autour des meurtrissures
pommes d'hiver ",fr
227,office window,comings and goings,of butterflies,"office window
comings and goings
of butterflies",en
228,fenêtre de bureau,les allées et venues,des papillons ,"fenêtre de bureau
les allées et venues
des papillons ",fr
229,beach stroll,dipping our feet,in the stars,"beach stroll
dipping our feet
in the stars",en
230,promenade sur la plage,nous trempons nos pieds,dans les étoiles ,"promenade sur la plage
nous trempons nos pieds
dans les étoiles ",fr
231,all day rain,lowering the blinds,in her dollhouse,"all day rain
lowering the blinds
in her dollhouse",en
232,pluie continue,abaisser les rideaux,de sa maison de poupée ,"pluie continue
abaisser les rideaux
de sa maison de poupée ",fr
233,late night stroll,through parted curtains,lives of others,"late night stroll
through parted curtains
lives of others",en
234,balade nocturne,à travers des rideaux entrouverts,les vies des autres ,"balade nocturne
à travers des rideaux entrouverts
les vies des autres ",fr
235,dusting off,the piano keys,autumn wind,"dusting off
the piano keys
autumn wind",en
236,dépoussièrant,les touches du piano,le vent d'automne ,"dépoussièrant
les touches du piano
le vent d'automne ",fr
237,autumn rain,puddles fill up,with moonlight,"autumn rain
puddles fill up
with moonlight",en
238,pluie d'automne,mes flaques se remplissent,de lumière de lune ,"pluie d'automne
mes flaques se remplissent
de lumière de lune ",fr
239,mountain cave --,from out of darkness,the morning light,"mountain cave --
from out of darkness
the morning light",en
240,caverne de montagne --,en sortant des tenèbres,la lumière du matin,"caverne de montagne --
en sortant des tenèbres
la lumière du matin",fr
241,after its first flight,the young gerfalcon's talons,tighter on my glove,"after its first flight
the young gerfalcon's talons
tighter on my glove",en
242,après son premier vol,les serres du jeune gerfaut,plus serrées sur mon gant,"après son premier vol
les serres du jeune gerfaut
plus serrées sur mon gant",fr
243,winter roses,I am tired of reading,between the lines,"winter roses
I am tired of reading
between the lines",en
244,roses d'hiver,je suis fatiguée de lire,entre les lignes ,"roses d'hiver
je suis fatiguée de lire
entre les lignes ",fr
245,storm--,the monologue,of every tree,"storm--
the monologue
of every tree",en
246,tempête --,le monologue,de chaque arbre ,"tempête --
le monologue
de chaque arbre ",fr
247,candle snuffer--,our eyes adjust,to the smoke wisp,"candle snuffer--
our eyes adjust
to the smoke wisp",en
248,(éteignoir à chandelle --,nos yeux suivent,la volute de fumée) ,"(éteignoir à chandelle --
nos yeux suivent
la volute de fumée) ",fr
249,the patter and hiss ,of gentle raining,--cloudlight ,"the patter and hiss 
of gentle raining
--cloudlight ",en
250,lull--,reading into the braille ,of your goose bumps,"lull--
reading into the braille 
of your goose bumps",en
251,accalmie -,la lecture en braille,de ta chair de poule ,"accalmie -
la lecture en braille
de ta chair de poule ",fr
252,afternoon malaise--,slant light ,at the oranges bowl,"afternoon malaise--
slant light 
at the oranges bowl",en
253,malaise d'après-midi--,la lumière oblique,de la coupe d'oranges ,"malaise d'après-midi--
la lumière oblique
de la coupe d'oranges ",fr
254,first day of school--,the house fills with the space ,between second hand ticks,"first day of school--
the house fills with the space 
between second hand ticks",en
255,(premier jour d'école--,la maison s'emplit de l'espace,entre les tics des secondes) ,"(premier jour d'école--
la maison s'emplit de l'espace
entre les tics des secondes) ",fr
256,downpour--,the dead animal smell,shifts toward memory,"downpour--
the dead animal smell
shifts toward memory",en
257,averse --,l'odeur de l'animal mort,dérive dans ma mémoire ,"averse --
l'odeur de l'animal mort
dérive dans ma mémoire ",fr
